Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0166
3999.00,0.0166
3998.00,0.0166
3997.00,0.0165
3996.00,0.0165
3995.00,0.0164
3994.00,0.0164
3993.00,0.0164
3992.00,0.0164
3991.00,0.0164
3990.00,0.0164
3989.00,0.0164
3988.00,0.0164
3987.00,0.0164
3986.00,0.0163
3985.00,0.0163
3984.00,0.0163
3983.00,0.0164
3982.00,0.0164
3981.00,0.0164
3980.00,0.0164
3979.00,0.0163
3978.00,0.0163
3977.00,0.0163
3976.00,0.0163
3975.00,0.0162
3974.00,0.0162
3973.00,0.0163
3972.00,0.0163
3971.00,0.0164
3970.00,0.0164
3969.00,0.0164
3968.00,0.0163
3967.00,0.0162
3966.00,0.0162
3965.00,0.0161
3964.00,0.0162
3963.00,0.0163
3962.00,0.0163
3961.00,0.0163
3960.00,0.0162
3959.00,0.0162
3958.00,0.0161
3957.00,0.0161
3956.00,0.0161
3955.00,0.0161
3954.00,0.0160
3953.00,0.0160
3952.00,0.0161
3951.00,0.0161
3950.00,0.0162
3949.00,0.0163
3948.00,0.0164
3947.00,0.0164
3946.00,0.0164
3945.00,0.0164
3944.00,0.0163
3943.00,0.0161
3942.00,0.0160
3941.00,0.0160
3940.00,0.0160
3939.00,0.0160
3938.00,0.0160
3937.00,0.0159
3936.00,0.0159
3935.00,0.0160
3934.00,0.0159
3933.00,0.0159
3932.00,0.0160
3931.00,0.0160
3930.00,0.0161
3929.00,0.0161
3928.00,0.0161
3927.00,0.0162
3926.00,0.0161
3925.00,0.0161
3924.00,0.0161
3923.00,0.0162
3922.00,0.0162
3921.00,0.0161
3920.00,0.0161
3919.00,0.0161
3918.00,0.0161
3917.00,0.0161
3916.00,0.0161
3915.00,0.0160
3914.00,0.0159
3913.00,0.0158
3912.00,0.0157
3911.00,0.0156
3910.00,0.0157
3909.00,0.0158
3908.00,0.0159
3907.00,0.0160
3906.00,0.0161
3905.00,0.0161
3904.00,0.0162
3903.00,0.0164
3902.00,0.0166
3901.00,0.0167
3900.00,0.0165
3899.00,0.0163
3898.00,0.0160
3897.00,0.0159
3896.00,0.0158
3895.00,0.0157
3894.00,0.0157
3893.00,0.0157
3892.00,0.0156
3891.00,0.0155
3890.00,0.0156
3889.00,0.0157
3888.00,0.0158
3887.00,0.0157
3886.00,0.0155
3885.00,0.0155
3884.00,0.0157
3883.00,0.0159
3882.00,0.0159
3881.00,0.0157
3880.00,0.0155
3879.00,0.0156
3878.00,0.0157
3877.00,0.0159
3876.00,0.0158
3875.00,0.0156
3874.00,0.0155
3873.00,0.0157
3872.00,0.0158
3871.00,0.0158
3870.00,0.0157
3869.00,0.0157
3868.00,0.0158
3867.00,0.0158
3866.00,0.0157
3865.00,0.0156
3864.00,0.0156
3863.00,0.0157
3862.00,0.0158
3861.00,0.0157
3860.00,0.0156
3859.00,0.0155
3858.00,0.0155
3857.00,0.0156
3856.00,0.0156
3855.00,0.0154
3854.00,0.0152
3853.00,0.0154
3852.00,0.0156
3851.00,0.0156
3850.00,0.0155
3849.00,0.0153
3848.00,0.0151
3847.00,0.0151
3846.00,0.0151
3845.00,0.0151
3844.00,0.0151
3843.00,0.0151
3842.00,0.0153
3841.00,0.0154
3840.00,0.0155
3839.00,0.0156
3838.00,0.0155
3837.00,0.0155
3836.00,0.0155
3835.00,0.0155
3834.00,0.0155
3833.00,0.0154
3832.00,0.0153
3831.00,0.0152
3830.00,0.0152
3829.00,0.0151
3828.00,0.0151
3827.00,0.0149
3826.00,0.0148
3825.00,0.0150
3824.00,0.0153
3823.00,0.0154
3822.00,0.0153
3821.00,0.0151
3820.00,0.0152
3819.00,0.0153
3818.00,0.0154
3817.00,0.0152
3816.00,0.0149
