Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0039
3999.00,0.0039
3998.00,0.0039
3997.00,0.0039
3996.00,0.0039
3995.00,0.0039
3994.00,0.0039
3993.00,0.0039
3992.00,0.0039
3991.00,0.0039
3990.00,0.0039
3989.00,0.0038
3988.00,0.0038
3987.00,0.0038
3986.00,0.0038
3985.00,0.0038
3984.00,0.0038
3983.00,0.0038
3982.00,0.0038
3981.00,0.0038
3980.00,0.0038
3979.00,0.0038
3978.00,0.0038
3977.00,0.0038
3976.00,0.0037
3975.00,0.0037
3974.00,0.0037
3973.00,0.0037
3972.00,0.0038
3971.00,0.0038
3970.00,0.0039
3969.00,0.0039
3968.00,0.0038
3967.00,0.0038
3966.00,0.0037
3965.00,0.0037
3964.00,0.0037
3963.00,0.0038
3962.00,0.0039
3961.00,0.0039
3960.00,0.0038
3959.00,0.0038
3958.00,0.0037
3957.00,0.0037
3956.00,0.0037
3955.00,0.0037
3954.00,0.0036
3953.00,0.0036
3952.00,0.0037
3951.00,0.0038
3950.00,0.0039
3949.00,0.0040
3948.00,0.0040
3947.00,0.0040
3946.00,0.0040
3945.00,0.0040
3944.00,0.0039
3943.00,0.0038
3942.00,0.0037
3941.00,0.0037
3940.00,0.0037
3939.00,0.0037
3938.00,0.0037
3937.00,0.0037
3936.00,0.0037
3935.00,0.0037
3934.00,0.0037
3933.00,0.0037
3932.00,0.0037
3931.00,0.0037
3930.00,0.0038
3929.00,0.0038
3928.00,0.0038
3927.00,0.0038
3926.00,0.0038
3925.00,0.0038
3924.00,0.0038
3923.00,0.0039
3922.00,0.0039
3921.00,0.0039
3920.00,0.0039
3919.00,0.0039
3918.00,0.0039
3917.00,0.0039
3916.00,0.0039
3915.00,0.0038
3914.00,0.0037
3913.00,0.0037
3912.00,0.0036
3911.00,0.0036
3910.00,0.0036
3909.00,0.0036
3908.00,0.0037
3907.00,0.0038
3906.00,0.0038
3905.00,0.0039
3904.00,0.0040
3903.00,0.0041
3902.00,0.0042
3901.00,0.0043
3900.00,0.0042
3899.00,0.0041
3898.00,0.0039
3897.00,0.0038
3896.00,0.0037
3895.00,0.0037
3894.00,0.0037
3893.00,0.0037
3892.00,0.0036
3891.00,0.0036
3890.00,0.0036
3889.00,0.0037
3888.00,0.0037
3887.00,0.0036
3886.00,0.0035
3885.00,0.0035
3884.00,0.0036
3883.00,0.0037
3882.00,0.0037
3881.00,0.0036
3880.00,0.0035
3879.00,0.0035
3878.00,0.0037
3877.00,0.0038
3876.00,0.0038
3875.00,0.0037
3874.00,0.0036
3873.00,0.0037
3872.00,0.0038
3871.00,0.0038
3870.00,0.0037
3869.00,0.0037
3868.00,0.0038
3867.00,0.0038
3866.00,0.0038
3865.00,0.0037
3864.00,0.0038
3863.00,0.0039
3862.00,0.0039
3861.00,0.0038
3860.00,0.0037
3859.00,0.0036
3858.00,0.0036
3857.00,0.0037
3856.00,0.0037
3855.00,0.0035
3854.00,0.0034
3853.00,0.0035
3852.00,0.0036
3851.00,0.0037
3850.00,0.0036
3849.00,0.0035
3848.00,0.0034
3847.00,0.0034
3846.00,0.0034
3845.00,0.0034
3844.00,0.0034
3843.00,0.0034
3842.00,0.0035
3841.00,0.0036
3840.00,0.0037
3839.00,0.0038
3838.00,0.0038
3837.00,0.0037
3836.00,0.0037
3835.00,0.0037
3834.00,0.0037
3833.00,0.0037
3832.00,0.0036
3831.00,0.0036
3830.00,0.0036
3829.00,0.0036
3828.00,0.0035
3827.00,0.0034
3826.00,0.0033
3825.00,0.0035
3824.00,0.0037
3823.00,0.0038
3822.00,0.0037
3821.00,0.0036
3820.00,0.0036
3819.00,0.0037
3818.00,0.0037
3817.00,0.0036
3816.00,0.0035
3815.00,0.0035
3814.00,0.0035
3813.00,0.0035
3812.00,0.0034
3811.00,0.0033
3810.00,0.0033
3809.00,0.0033
3808.00,0.0032
3807.00,0.0032
3806.00,0.0033
3805.00,0.0035
3804.00,0.0037
3803.00,0.0038
3802.00,0.0037
3801.00,0.0036
3800.00,0.0036
3799.00,0.0037
3798.00,0.0036
3797.00,0.0035
3796.00,0.0034
3795.00,0.0034
3794.00,0.0034
3793.00,0.0034
3792.00,0.0034
3791.00,0.0033
3790.00,0.0033
3789.00,0.0033
3788.00,0.0034
3787.00,0.0034
3786.00,0.0035
3785.00,0.0035
3784.00,0.0035
3783.00,0.0036
3782.00,0.0036
3781.00,0.0035
3780.00,0.0034
3779.00,0.0034
3778.00,0.0034
3777.00,0.0034
3776.00,0.0034
3775.00,0.0033
3774.00,0.0033
3773.00,0.0033
3772.00,0.0033
3771.00,0.0033
3770.00,0.0033
3769.00,0.0033
3768.00,0.0033
3767.00,0.0034
3766.00,0.0034
3765.00,0.0033
3764.00,0.0034
3763.00,0.0035
3762.00,0.0035
3761.00,0.0035
3760.00,0.0035
3759.00,0.0034
3758.00,0.0034
3757.00,0.0033
3756.00,0.0033
3755.00,0.0033
3754.00,0.0033
3753.00,0.0033
3752.00,0.0033
3751.00,0.0034
3750.00,0.0034
3749.00,0.0035
3748.00,0.0037
3747.00,0.0040
3746.00,0.0041
3745.00,0.0038
3744.00,0.0035
3743.00,0.0034
3742.00,0.0035
3741.00,0.0035
3740.00,0.0036
3739.00,0.0037
3738.00,0.0039
3737.00,0.0039
3736.00,0.0039
3735.00,0.0039
3734.00,0.0039
3733.00,0.0038
3732.00,0.0036
3731.00,0.0035
3730.00,0.0034
3729.00,0.0035
3728.00,0.0035
3727.00,0.0034
3726.00,0.0034
3725.00,0.0035
3724.00,0.0034
3723.00,0.0034
3722.00,0.0034
3721.00,0.0035
3720.00,0.0035
3719.00,0.0035
3718.00,0.0034
3717.00,0.0033
3716.00,0.0033
3715.00,0.0034
3714.00,0.0034
3713.00,0.0035
3712.00,0.0037
3711.00,0.0037
3710.00,0.0037
3709.00,0.0036
3708.00,0.0036
3707.00,0.0036
3706.00,0.0037
3705.00,0.0038
3704.00,0.0038
3703.00,0.0038
3702.00,0.0037
3701.00,0.0037
3700.00,0.0037
3699.00,0.0038
3698.00,0.0037
3697.00,0.0037
3696.00,0.0036
3695.00,0.0035
3694.00,0.0035
3693.00,0.0035
3692.00,0.0036
3691.00,0.0038
3690.00,0.0040
3689.00,0.0041
3688.00,0.0040
3687.00,0.0039
3686.00,0.0038
3685.00,0.0038
3684.00,0.0037
3683.00,0.0036
3682.00,0.0035
3681.00,0.0035
3680.00,0.0034
3679.00,0.0034
3678.00,0.0034
3677.00,0.0035
3676.00,0.0034
3675.00,0.0034
3674.00,0.0035
3673.00,0.0037
3672.00,0.0038
3671.00,0.0038
3670.00,0.0039
3669.00,0.0040
3668.00,0.0040
3667.00,0.0039
3666.00,0.0038
3665.00,0.0038
3664.00,0.0037
3663.00,0.0037
3662.00,0.0038
3661.00,0.0039
3660.00,0.0040
3659.00,0.0042
3658.00,0.0043
3657.00,0.0043
3656.00,0.0043
3655.00,0.0044
3654.00,0.0046
3653.00,0.0047
3652.00,0.0048
3651.00,0.0047
3650.00,0.0048
3649.00,0.0050
3648.00,0.0051
3647.00,0.0051
3646.00,0.0050
3645.00,0.0050
3644.00,0.0050
3643.00,0.0049
3642.00,0.0049
3641.00,0.0049
3640.00,0.0050
3639.00,0.0050
3638.00,0.0051
3637.00,0.0052
3636.00,0.0052
3635.00,0.0053
3634.00,0.0053
3633.00,0.0055
3632.00,0.0056
3631.00,0.0058
3630.00,0.0059
3629.00,0.0060
3628.00,0.0061
3627.00,0.0061
3626.00,0.0060
3625.00,0.0059
3624.00,0.0058
3623.00,0.0058
3622.00,0.0059
3621.00,0.0061
3620.00,0.0062
3619.00,0.0064
3618.00,0.0064
3617.00,0.0065
3616.00,0.0065
3615.00,0.0066
3614.00,0.0065
3613.00,0.0065
3612.00,0.0066
3611.00,0.0067
3610.00,0.0068
3609.00,0.0068
3608.00,0.0069
3607.00,0.0069
3606.00,0.0068
3605.00,0.0067
3604.00,0.0066
3603.00,0.0066
3602.00,0.0067
3601.00,0.0069
3600.00,0.0070
3599.00,0.0070
3598.00,0.0069
3597.00,0.0069
3596.00,0.0069
3595.00,0.0069
3594.00,0.0069
3593.00,0.0069
3592.00,0.0070
3591.00,0.0070
3590.00,0.0071
3589.00,0.0072
3588.00,0.0073
3587.00,0.0074
3586.00,0.0075
3585.00,0.0075
3584.00,0.0074
3583.00,0.0073
3582.00,0.0073
3581.00,0.0072
3580.00,0.0072
3579.00,0.0072
3578.00,0.0073
3577.00,0.0073
3576.00,0.0074
3575.00,0.0074
3574.00,0.0074
3573.00,0.0075
3572.00,0.0075
3571.00,0.0076
3570.00,0.0076
3569.00,0.0077
3568.00,0.0078
3567.00,0.0080
3566.00,0.0081
3565.00,0.0081
3564.00,0.0080
3563.00,0.0079
3562.00,0.0078
3561.00,0.0078
3560.00,0.0079
3559.00,0.0079
3558.00,0.0079
3557.00,0.0080
3556.00,0.0081
3555.00,0.0081
3554.00,0.0082
3553.00,0.0082
3552.00,0.0083
3551.00,0.0084
3550.00,0.0085
3549.00,0.0085
3548.00,0.0086
3547.00,0.0086
3546.00,0.0087
3545.00,0.0088
3544.00,0.0088
3543.00,0.0087
3542.00,0.0087
3541.00,0.0086
3540.00,0.0085
3539.00,0.0084
3538.00,0.0084
3537.00,0.0083
3536.00,0.0084
3535.00,0.0085
3534.00,0.0086
3533.00,0.0087
3532.00,0.0087
3531.00,0.0088
3530.00,0.0087
3529.00,0.0087
3528.00,0.0087
3527.00,0.0087
3526.00,0.0088
3525.00,0.0090
3524.00,0.0091
3523.00,0.0092
3522.00,0.0092
3521.00,0.0091
3520.00,0.0090
3519.00,0.0088
3518.00,0.0087
3517.00,0.0087
3516.00,0.0087
3515.00,0.0087
3514.00,0.0088
3513.00,0.0090
3512.00,0.0091
3511.00,0.0092
3510.00,0.0092
3509.00,0.0092
3508.00,0.0092
3507.00,0.0091
3506.00,0.0092
3505.00,0.0092
3504.00,0.0093
3503.00,0.0094
3502.00,0.0095
3501.00,0.0095
3500.00,0.0095
3499.00,0.0095
3498.00,0.0095
3497.00,0.0096
3496.00,0.0096
3495.00,0.0095
3494.00,0.0095
3493.00,0.0094
3492.00,0.0094
3491.00,0.0094
3490.00,0.0094
3489.00,0.0094
3488.00,0.0094
3487.00,0.0095
3486.00,0.0095
3485.00,0.0095
3484.00,0.0095
3483.00,0.0096
3482.00,0.0096
3481.00,0.0096
3480.00,0.0096
3479.00,0.0096
3478.00,0.0096
3477.00,0.0097
3476.00,0.0097
3475.00,0.0098
3474.00,0.0098
3473.00,0.0098
3472.00,0.0099
3471.00,0.0099
3470.00,0.0099
3469.00,0.0100
3468.00,0.0100
3467.00,0.0100
3466.00,0.0101
3465.00,0.0101
3464.00,0.0101
3463.00,0.0101
3462.00,0.0099
3461.00,0.0099
3460.00,0.0099
3459.00,0.0100
3458.00,0.0101
3457.00,0.0101
3456.00,0.0101
3455.00,0.0100
3454.00,0.0100
3453.00,0.0100
3452.00,0.0101
3451.00,0.0101
3450.00,0.0102
3449.00,0.0102
3448.00,0.0103
3447.00,0.0103
3446.00,0.0103
3445.00,0.0104
3444.00,0.0104
3443.00,0.0104
3442.00,0.0103
3441.00,0.0102
3440.00,0.0101
3439.00,0.0101
3438.00,0.0101
3437.00,0.0101
3436.00,0.0101
3435.00,0.0101
3434.00,0.0101
3433.00,0.0101
3432.00,0.0102
3431.00,0.0103
3430.00,0.0103
3429.00,0.0103
3428.00,0.0102
3427.00,0.0102
3426.00,0.0103
3425.00,0.0104
3424.00,0.0105
3423.00,0.0106
3422.00,0.0106
3421.00,0.0106
3420.00,0.0106
3419.00,0.0106
3418.00,0.0106
3417.00,0.0106
3416.00,0.0105
3415.00,0.0104
3414.00,0.0104
3413.00,0.0104
3412.00,0.0105
3411.00,0.0105
3410.00,0.0106
3409.00,0.0106
3408.00,0.0107
3407.00,0.0107
3406.00,0.0107
3405.00,0.0107
3404.00,0.0106
3403.00,0.0106
3402.00,0.0106
3401.00,0.0106
3400.00,0.0107
3399.00,0.0107
3398.00,0.0107
3397.00,0.0107
3396.00,0.0106
3395.00,0.0106
3394.00,0.0106
3393.00,0.0106
3392.00,0.0107
3391.00,0.0108
3390.00,0.0108
3389.00,0.0108
3388.00,0.0108
3387.00,0.0108
3386.00,0.0107
3385.00,0.0107
3384.00,0.0108
3383.00,0.0108
3382.00,0.0108
3381.00,0.0109
3380.00,0.0109
3379.00,0.0110
3378.00,0.0110
3377.00,0.0109
3376.00,0.0109
3375.00,0.0109
3374.00,0.0108
3373.00,0.0108
3372.00,0.0108
3371.00,0.0107
3370.00,0.0107
3369.00,0.0108
3368.00,0.0109
3367.00,0.0109
3366.00,0.0109
3365.00,0.0108
3364.00,0.0108
3363.00,0.0108
3362.00,0.0109
3361.00,0.0110
3360.00,0.0111
3359.00,0.0111
3358.00,0.0110
3357.00,0.0110
3356.00,0.0110
3355.00,0.0110
3354.00,0.0110
3353.00,0.0111
3352.00,0.0111
3351.00,0.0111
3350.00,0.0111
3349.00,0.0111
3348.00,0.0111
3347.00,0.0111
3346.00,0.0110
3345.00,0.0110
3344.00,0.0110
3343.00,0.0109
3342.00,0.0109
3341.00,0.0110
3340.00,0.0110
3339.00,0.0111
3338.00,0.0111
3337.00,0.0111
3336.00,0.0110
3335.00,0.0110
3334.00,0.0110
3333.00,0.0110
3332.00,0.0110
3331.00,0.0109
3330.00,0.0109
3329.00,0.0108
3328.00,0.0109
3327.00,0.0109
3326.00,0.0110
3325.00,0.0111
3324.00,0.0112
3323.00,0.0112
3322.00,0.0111
3321.00,0.0111
3320.00,0.0110
3319.00,0.0110
3318.00,0.0110
3317.00,0.0110
3316.00,0.0110
3315.00,0.0110
3314.00,0.0110
3313.00,0.0110
3312.00,0.0109
3311.00,0.0109
3310.00,0.0110
3309.00,0.0111
3308.00,0.0111
3307.00,0.0112
3306.00,0.0112
3305.00,0.0111
3304.00,0.0111
3303.00,0.0111
3302.00,0.0111
3301.00,0.0111
3300.00,0.0110
3299.00,0.0110
3298.00,0.0110
3297.00,0.0111
3296.00,0.0111
3295.00,0.0112
3294.00,0.0112
3293.00,0.0112
3292.00,0.0111
3291.00,0.0111
3290.00,0.0111
3289.00,0.0111
3288.00,0.0111
3287.00,0.0111
3286.00,0.0111
3285.00,0.0112
3284.00,0.0112
3283.00,0.0112
3282.00,0.0112
3281.00,0.0112
3280.00,0.0111
3279.00,0.0111
3278.00,0.0111
3277.00,0.0111
3276.00,0.0111
3275.00,0.0111
3274.00,0.0112
3273.00,0.0112
3272.00,0.0112
3271.00,0.0112
3270.00,0.0113
3269.00,0.0113
3268.00,0.0113
3267.00,0.0113
3266.00,0.0112
3265.00,0.0112
3264.00,0.0111
3263.00,0.0111
3262.00,0.0111
3261.00,0.0111
3260.00,0.0111
3259.00,0.0112
3258.00,0.0112
3257.00,0.0111
3256.00,0.0111
3255.00,0.0110
3254.00,0.0111
3253.00,0.0111
3252.00,0.0111
3251.00,0.0112
3250.00,0.0112
3249.00,0.0111
3248.00,0.0111
3247.00,0.0111
3246.00,0.0111
3245.00,0.0111
3244.00,0.0112
3243.00,0.0111
3242.00,0.0111
3241.00,0.0111
3240.00,0.0111
3239.00,0.0111
3238.00,0.0112
3237.00,0.0112
3236.00,0.0113
3235.00,0.0114
3234.00,0.0114
3233.00,0.0114
3232.00,0.0113
3231.00,0.0113
3230.00,0.0112
3229.00,0.0112
3228.00,0.0111
3227.00,0.0111
3226.00,0.0111
3225.00,0.0111
3224.00,0.0111
3223.00,0.0112
3222.00,0.0112
3221.00,0.0112
3220.00,0.0111
3219.00,0.0111
3218.00,0.0111
3217.00,0.0111
3216.00,0.0112
3215.00,0.0113
3214.00,0.0113
3213.00,0.0112
3212.00,0.0112
3211.00,0.0111
3210.00,0.0111
3209.00,0.0111
3208.00,0.0111
3207.00,0.0111
3206.00,0.0111
3205.00,0.0112
3204.00,0.0112
3203.00,0.0113
3202.00,0.0113
3201.00,0.0112
3200.00,0.0112
3199.00,0.0113
3198.00,0.0113
3197.00,0.0113
3196.00,0.0112
3195.00,0.0112
3194.00,0.0112
3193.00,0.0111
3192.00,0.0111
3191.00,0.0111
3190.00,0.0110
3189.00,0.0109
3188.00,0.0109
3187.00,0.0109
3186.00,0.0109
3185.00,0.0109
3184.00,0.0110
3183.00,0.0111
3182.00,0.0111
3181.00,0.0111
3180.00,0.0111
3179.00,0.0110
3178.00,0.0110
3177.00,0.0109
3176.00,0.0108
3175.00,0.0108
3174.00,0.0109
3173.00,0.0109
3172.00,0.0109
3171.00,0.0109
3170.00,0.0109
3169.00,0.0109
3168.00,0.0109
3167.00,0.0109
3166.00,0.0110
3165.00,0.0111
3164.00,0.0111
3163.00,0.0112
3162.00,0.0111
3161.00,0.0110
3160.00,0.0109
3159.00,0.0108
3158.00,0.0107
3157.00,0.0107
3156.00,0.0107
3155.00,0.0108
3154.00,0.0109
3153.00,0.0110
3152.00,0.0110
3151.00,0.0109
3150.00,0.0109
3149.00,0.0108
3148.00,0.0108
3147.00,0.0108
3146.00,0.0108
3145.00,0.0108
3144.00,0.0108
3143.00,0.0108
3142.00,0.0108
3141.00,0.0108
3140.00,0.0108
3139.00,0.0108
3138.00,0.0108
3137.00,0.0108
3136.00,0.0108
3135.00,0.0108
3134.00,0.0108
3133.00,0.0108
3132.00,0.0108
3131.00,0.0108
3130.00,0.0108
3129.00,0.0108
3128.00,0.0108
3127.00,0.0107
3126.00,0.0107
3125.00,0.0107
3124.00,0.0107
3123.00,0.0107
3122.00,0.0107
3121.00,0.0107
3120.00,0.0107
3119.00,0.0107
3118.00,0.0107
3117.00,0.0107
3116.00,0.0107
3115.00,0.0107
3114.00,0.0107
3113.00,0.0107
3112.00,0.0107
3111.00,0.0107
3110.00,0.0106
3109.00,0.0106
3108.00,0.0106
3107.00,0.0106
3106.00,0.0107
3105.00,0.0107
3104.00,0.0107
3103.00,0.0107
3102.00,0.0106
3101.00,0.0106
3100.00,0.0105
3099.00,0.0105
3098.00,0.0105
3097.00,0.0105
3096.00,0.0106
3095.00,0.0107
3094.00,0.0107
3093.00,0.0108
3092.00,0.0107
3091.00,0.0107
3090.00,0.0106
3089.00,0.0105
3088.00,0.0104
3087.00,0.0104
3086.00,0.0104
3085.00,0.0105
3084.00,0.0106
3083.00,0.0106
3082.00,0.0106
3081.00,0.0106
3080.00,0.0106
3079.00,0.0106
3078.00,0.0106
3077.00,0.0105
3076.00,0.0105
3075.00,0.0105
3074.00,0.0105
3073.00,0.0105
3072.00,0.0106
3071.00,0.0106
3070.00,0.0106
3069.00,0.0106
3068.00,0.0106
3067.00,0.0106
3066.00,0.0106
3065.00,0.0105
3064.00,0.0104
3063.00,0.0103
3062.00,0.0103
3061.00,0.0104
3060.00,0.0104
3059.00,0.0104
3058.00,0.0104
3057.00,0.0104
3056.00,0.0104
3055.00,0.0104
3054.00,0.0103
3053.00,0.0103
3052.00,0.0103
3051.00,0.0104
3050.00,0.0104
3049.00,0.0105
3048.00,0.0105
3047.00,0.0105
3046.00,0.0105
3045.00,0.0104
3044.00,0.0104
3043.00,0.0103
3042.00,0.0102
3041.00,0.0101
3040.00,0.0101
3039.00,0.0101
3038.00,0.0102
3037.00,0.0102
3036.00,0.0102
3035.00,0.0103
3034.00,0.0103
3033.00,0.0103
3032.00,0.0103
3031.00,0.0102
3030.00,0.0102
3029.00,0.0101
3028.00,0.0100
3027.00,0.0100
3026.00,0.0100
3025.00,0.0101
3024.00,0.0101
3023.00,0.0101
3022.00,0.0101
3021.00,0.0101
3020.00,0.0101
3019.00,0.0100
3018.00,0.0100
3017.00,0.0099
3016.00,0.0100
3015.00,0.0100
3014.00,0.0099
3013.00,0.0099
3012.00,0.0098
3011.00,0.0098
3010.00,0.0098
3009.00,0.0097
3008.00,0.0095
3007.00,0.0094
3006.00,0.0093
3005.00,0.0092
3004.00,0.0091
3003.00,0.0090
3002.00,0.0089
3001.00,0.0087
3000.00,0.0086
2999.00,0.0084
2998.00,0.0083
2997.00,0.0082
2996.00,0.0081
2995.00,0.0081
2994.00,0.0080
2993.00,0.0080
2992.00,0.0079
2991.00,0.0079
2990.00,0.0078
2989.00,0.0078
2988.00,0.0077
2987.00,0.0076
2986.00,0.0074
2985.00,0.0071
2984.00,0.0067
2983.00,0.0065
2982.00,0.0064
2981.00,0.0065
2980.00,0.0067
2979.00,0.0069
2978.00,0.0072
2977.00,0.0075
2976.00,0.0078
2975.00,0.0079
2974.00,0.0080
2973.00,0.0080
2972.00,0.0081
2971.00,0.0083
2970.00,0.0086
2969.00,0.0089
2968.00,0.0093
2967.00,0.0096
2966.00,0.0099
2965.00,0.0101
2964.00,0.0104
2963.00,0.0107
2962.00,0.0109
2961.00,0.0112
2960.00,0.0113
2959.00,0.0114
2958.00,0.0116
2957.00,0.0117
2956.00,0.0119
2955.00,0.0120
2954.00,0.0121
2953.00,0.0122
2952.00,0.0123
2951.00,0.0123
2950.00,0.0124
2949.00,0.0125
2948.00,0.0126
2947.00,0.0127
2946.00,0.0129
2945.00,0.0131
2944.00,0.0133
2943.00,0.0137
2942.00,0.0140
2941.00,0.0144
2940.00,0.0148
2939.00,0.0151
2938.00,0.0155
2937.00,0.0159
2936.00,0.0164
2935.00,0.0169
2934.00,0.0175
2933.00,0.0179
2932.00,0.0184
2931.00,0.0189
2930.00,0.0194
2929.00,0.0198
2928.00,0.0202
2927.00,0.0206
2926.00,0.0208
2925.00,0.0209
2924.00,0.0210
2923.00,0.0209
2922.00,0.0207
2921.00,0.0204
2920.00,0.0199
2919.00,0.0194
2918.00,0.0189
2917.00,0.0183
2916.00,0.0178
2915.00,0.0173
2914.00,0.0168
2913.00,0.0163
2912.00,0.0159
2911.00,0.0155
2910.00,0.0152
2909.00,0.0149
2908.00,0.0146
2907.00,0.0143
2906.00,0.0140
2905.00,0.0138
2904.00,0.0136
2903.00,0.0133
2902.00,0.0131
2901.00,0.0130
2900.00,0.0128
2899.00,0.0126
2898.00,0.0124
2897.00,0.0123
2896.00,0.0121
2895.00,0.0120
2894.00,0.0118
2893.00,0.0117
2892.00,0.0115
2891.00,0.0114
2890.00,0.0112
2889.00,0.0111
2888.00,0.0110
2887.00,0.0109
2886.00,0.0108
2885.00,0.0107
2884.00,0.0106
2883.00,0.0105
2882.00,0.0105
2881.00,0.0105
2880.00,0.0106
2879.00,0.0107
2878.00,0.0108
2877.00,0.0109
2876.00,0.0110
2875.00,0.0111
2874.00,0.0112
2873.00,0.0112
2872.00,0.0113
2871.00,0.0113
2870.00,0.0114
2869.00,0.0115
2868.00,0.0116
2867.00,0.0117
2866.00,0.0118
2865.00,0.0121
2864.00,0.0124
2863.00,0.0127
2862.00,0.0130
2861.00,0.0134
2860.00,0.0139
2859.00,0.0144
2858.00,0.0149
2857.00,0.0154
2856.00,0.0157
2855.00,0.0158
2854.00,0.0159
2853.00,0.0158
2852.00,0.0156
2851.00,0.0153
2850.00,0.0149
2849.00,0.0144
2848.00,0.0139
2847.00,0.0133
2846.00,0.0128
2845.00,0.0123
2844.00,0.0118
2843.00,0.0114
2842.00,0.0111
2841.00,0.0108
2840.00,0.0105
2839.00,0.0102
2838.00,0.0100
2837.00,0.0099
2836.00,0.0098
2835.00,0.0098
2834.00,0.0097
2833.00,0.0096
2832.00,0.0095
2831.00,0.0093
2830.00,0.0092
2829.00,0.0091
2828.00,0.0091
2827.00,0.0091
2826.00,0.0091
2825.00,0.0090
2824.00,0.0090
2823.00,0.0089
2822.00,0.0089
2821.00,0.0088
2820.00,0.0087
2819.00,0.0086
2818.00,0.0086
2817.00,0.0085
2816.00,0.0085
2815.00,0.0085
2814.00,0.0084
2813.00,0.0084
2812.00,0.0084
2811.00,0.0083
2810.00,0.0083
2809.00,0.0083
2808.00,0.0083
2807.00,0.0083
2806.00,0.0083
2805.00,0.0083
2804.00,0.0083
2803.00,0.0082
2802.00,0.0082
2801.00,0.0082
2800.00,0.0082
2799.00,0.0082
2798.00,0.0082
2797.00,0.0081
2796.00,0.0081
2795.00,0.0081
2794.00,0.0081
2793.00,0.0081
2792.00,0.0081
2791.00,0.0081
2790.00,0.0081
2789.00,0.0081
2788.00,0.0080
2787.00,0.0080
2786.00,0.0079
2785.00,0.0079
