Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0172
3999.00,0.0172
3998.00,0.0172
3997.00,0.0173
3996.00,0.0173
3995.00,0.0173
3994.00,0.0173
3993.00,0.0172
3992.00,0.0172
3991.00,0.0172
3990.00,0.0172
3989.00,0.0171
3988.00,0.0171
3987.00,0.0170
3986.00,0.0170
3985.00,0.0171
3984.00,0.0171
3983.00,0.0172
3982.00,0.0172
3981.00,0.0172
3980.00,0.0171
3979.00,0.0171
3978.00,0.0170
3977.00,0.0170
3976.00,0.0169
3975.00,0.0169
3974.00,0.0169
3973.00,0.0170
3972.00,0.0171
3971.00,0.0172
3970.00,0.0172
3969.00,0.0172
3968.00,0.0172
3967.00,0.0171
3966.00,0.0169
3965.00,0.0169
3964.00,0.0169
3963.00,0.0170
3962.00,0.0171
3961.00,0.0171
3960.00,0.0171
3959.00,0.0171
3958.00,0.0171
3957.00,0.0170
3956.00,0.0170
3955.00,0.0169
3954.00,0.0168
3953.00,0.0168
3952.00,0.0168
3951.00,0.0170
3950.00,0.0171
3949.00,0.0172
3948.00,0.0173
3947.00,0.0174
3946.00,0.0174
3945.00,0.0174
3944.00,0.0172
3943.00,0.0171
3942.00,0.0169
3941.00,0.0168
3940.00,0.0168
3939.00,0.0169
3938.00,0.0169
3937.00,0.0169
3936.00,0.0170
3935.00,0.0171
3934.00,0.0171
3933.00,0.0171
3932.00,0.0171
3931.00,0.0171
3930.00,0.0171
3929.00,0.0171
3928.00,0.0171
3927.00,0.0170
3926.00,0.0170
3925.00,0.0170
3924.00,0.0171
3923.00,0.0172
3922.00,0.0173
3921.00,0.0173
3920.00,0.0172
3919.00,0.0171
3918.00,0.0170
3917.00,0.0170
3916.00,0.0169
3915.00,0.0169
3914.00,0.0168
3913.00,0.0168
3912.00,0.0167
3911.00,0.0168
3910.00,0.0169
3909.00,0.0170
3908.00,0.0171
3907.00,0.0172
3906.00,0.0172
3905.00,0.0172
3904.00,0.0172
3903.00,0.0174
3902.00,0.0176
3901.00,0.0178
3900.00,0.0177
3899.00,0.0176
3898.00,0.0174
3897.00,0.0173
3896.00,0.0172
3895.00,0.0171
3894.00,0.0171
3893.00,0.0170
3892.00,0.0169
3891.00,0.0168
3890.00,0.0168
3889.00,0.0170
3888.00,0.0171
3887.00,0.0171
3886.00,0.0170
3885.00,0.0170
3884.00,0.0172
3883.00,0.0173
3882.00,0.0172
3881.00,0.0169
3880.00,0.0168
3879.00,0.0168
3878.00,0.0170
3877.00,0.0172
3876.00,0.0172
3875.00,0.0172
3874.00,0.0172
3873.00,0.0173
3872.00,0.0174
3871.00,0.0173
3870.00,0.0172
3869.00,0.0171
3868.00,0.0172
3867.00,0.0172
3866.00,0.0172
3865.00,0.0171
3864.00,0.0172
3863.00,0.0173
3862.00,0.0173
3861.00,0.0173
3860.00,0.0172
3859.00,0.0172
3858.00,0.0172
3857.00,0.0174
3856.00,0.0174
3855.00,0.0172
3854.00,0.0170
3853.00,0.0172
3852.00,0.0173
3851.00,0.0173
3850.00,0.0171
3849.00,0.0168
3848.00,0.0167
3847.00,0.0166
3846.00,0.0166
3845.00,0.0166
3844.00,0.0167
3843.00,0.0168
3842.00,0.0170
3841.00,0.0172
3840.00,0.0174
3839.00,0.0175
3838.00,0.0176
3837.00,0.0175
3836.00,0.0174
3835.00,0.0173
3834.00,0.0172
3833.00,0.0170
3832.00,0.0167
3831.00,0.0166
3830.00,0.0166
3829.00,0.0166
3828.00,0.0166
3827.00,0.0165
3826.00,0.0166
3825.00,0.0169
3824.00,0.0172
3823.00,0.0174
3822.00,0.0172
3821.00,0.0171
3820.00,0.0171
3819.00,0.0171
3818.00,0.0171
3817.00,0.0169
3816.00,0.0166
3815.00,0.0166
3814.00,0.0166
3813.00,0.0166
3812.00,0.0165
3811.00,0.0164
3810.00,0.0163
3809.00,0.0163
3808.00,0.0162
3807.00,0.0163
3806.00,0.0165
3805.00,0.0169
3804.00,0.0172
3803.00,0.0173
3802.00,0.0171
3801.00,0.0170
3800.00,0.0171
3799.00,0.0170
3798.00,0.0168
3797.00,0.0164
3796.00,0.0162
3795.00,0.0161
3794.00,0.0161
3793.00,0.0161
3792.00,0.0160
3791.00,0.0160
3790.00,0.0160
3789.00,0.0161
3788.00,0.0162
3787.00,0.0163
3786.00,0.0163
3785.00,0.0162
3784.00,0.0162
3783.00,0.0163
3782.00,0.0163
3781.00,0.0163
3780.00,0.0162
3779.00,0.0161
3778.00,0.0162
3777.00,0.0162
3776.00,0.0162
3775.00,0.0162
3774.00,0.0161
3773.00,0.0161
3772.00,0.0161
3771.00,0.0160
3770.00,0.0160
3769.00,0.0160
3768.00,0.0161
3767.00,0.0162
3766.00,0.0162
3765.00,0.0162
3764.00,0.0163
3763.00,0.0164
3762.00,0.0164
3761.00,0.0163
3760.00,0.0162
3759.00,0.0161
3758.00,0.0161
3757.00,0.0162
3756.00,0.0164
3755.00,0.0165
3754.00,0.0167
3753.00,0.0167
3752.00,0.0167
3751.00,0.0167
3750.00,0.0168
3749.00,0.0169
3748.00,0.0172
3747.00,0.0174
3746.00,0.0172
3745.00,0.0168
3744.00,0.0165
3743.00,0.0165
3742.00,0.0166
3741.00,0.0167
3740.00,0.0168
3739.00,0.0169
3738.00,0.0169
3737.00,0.0169
3736.00,0.0169
3735.00,0.0169
3734.00,0.0168
3733.00,0.0166
3732.00,0.0164
3731.00,0.0162
3730.00,0.0162
3729.00,0.0163
3728.00,0.0163
3727.00,0.0162
3726.00,0.0162
3725.00,0.0162
3724.00,0.0161
3723.00,0.0160
3722.00,0.0159
3721.00,0.0159
3720.00,0.0159
3719.00,0.0160
3718.00,0.0160
3717.00,0.0161
3716.00,0.0162
3715.00,0.0164
3714.00,0.0165
3713.00,0.0166
3712.00,0.0166
3711.00,0.0166
3710.00,0.0165
3709.00,0.0164
3708.00,0.0163
3707.00,0.0164
