Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0079
3999.00,0.0079
3998.00,0.0080
3997.00,0.0080
3996.00,0.0080
3995.00,0.0079
3994.00,0.0079
3993.00,0.0079
3992.00,0.0079
3991.00,0.0079
3990.00,0.0079
3989.00,0.0079
3988.00,0.0079
3987.00,0.0078
3986.00,0.0078
3985.00,0.0078
3984.00,0.0078
3983.00,0.0079
3982.00,0.0079
3981.00,0.0079
3980.00,0.0079
3979.00,0.0079
3978.00,0.0079
3977.00,0.0078
3976.00,0.0078
3975.00,0.0078
3974.00,0.0077
3973.00,0.0078
3972.00,0.0078
3971.00,0.0079
3970.00,0.0079
3969.00,0.0079
3968.00,0.0079
3967.00,0.0078
3966.00,0.0078
3965.00,0.0078
3964.00,0.0078
3963.00,0.0079
3962.00,0.0080
3961.00,0.0079
3960.00,0.0078
3959.00,0.0078
3958.00,0.0077
3957.00,0.0078
3956.00,0.0078
3955.00,0.0077
3954.00,0.0077
3953.00,0.0077
3952.00,0.0078
3951.00,0.0079
3950.00,0.0080
3949.00,0.0081
3948.00,0.0081
3947.00,0.0081
3946.00,0.0082
3945.00,0.0081
3944.00,0.0080
3943.00,0.0079
3942.00,0.0078
3941.00,0.0078
3940.00,0.0078
3939.00,0.0078
3938.00,0.0078
3937.00,0.0078
3936.00,0.0078
3935.00,0.0078
3934.00,0.0078
3933.00,0.0078
3932.00,0.0078
3931.00,0.0079
3930.00,0.0079
3929.00,0.0080
3928.00,0.0080
3927.00,0.0080
3926.00,0.0080
3925.00,0.0079
3924.00,0.0079
3923.00,0.0080
3922.00,0.0081
3921.00,0.0080
3920.00,0.0080
3919.00,0.0080
3918.00,0.0080
3917.00,0.0080
3916.00,0.0081
3915.00,0.0080
3914.00,0.0080
3913.00,0.0079
3912.00,0.0078
3911.00,0.0077
3910.00,0.0077
3909.00,0.0078
3908.00,0.0078
3907.00,0.0079
3906.00,0.0079
3905.00,0.0079
3904.00,0.0080
3903.00,0.0081
3902.00,0.0083
3901.00,0.0084
3900.00,0.0084
3899.00,0.0082
3898.00,0.0081
3897.00,0.0080
3896.00,0.0079
3895.00,0.0079
3894.00,0.0079
3893.00,0.0079
3892.00,0.0079
3891.00,0.0078
3890.00,0.0077
3889.00,0.0078
3888.00,0.0079
3887.00,0.0078
3886.00,0.0077
3885.00,0.0077
3884.00,0.0078
3883.00,0.0080
3882.00,0.0080
3881.00,0.0078
3880.00,0.0077
3879.00,0.0078
3878.00,0.0079
3877.00,0.0081
3876.00,0.0082
3875.00,0.0080
3874.00,0.0079
3873.00,0.0080
3872.00,0.0081
3871.00,0.0081
3870.00,0.0079
3869.00,0.0079
3868.00,0.0079
3867.00,0.0080
3866.00,0.0080
3865.00,0.0079
3864.00,0.0080
3863.00,0.0081
3862.00,0.0081
3861.00,0.0081
3860.00,0.0080
3859.00,0.0079
3858.00,0.0079
3857.00,0.0080
3856.00,0.0080
3855.00,0.0079
3854.00,0.0078
3853.00,0.0079
3852.00,0.0080
3851.00,0.0081
3850.00,0.0080
3849.00,0.0079
3848.00,0.0078
3847.00,0.0077
3846.00,0.0077
3845.00,0.0078
3844.00,0.0077
3843.00,0.0078
3842.00,0.0079
3841.00,0.0080
3840.00,0.0081
3839.00,0.0081
3838.00,0.0080
3837.00,0.0080
3836.00,0.0079
3835.00,0.0079
3834.00,0.0080
3833.00,0.0080
3832.00,0.0080
3831.00,0.0080
3830.00,0.0080
3829.00,0.0080
3828.00,0.0079
3827.00,0.0077
3826.00,0.0077
3825.00,0.0078
3824.00,0.0080
3823.00,0.0081
3822.00,0.0080
3821.00,0.0079
3820.00,0.0079
3819.00,0.0081
3818.00,0.0082
3817.00,0.0080
3816.00,0.0079
3815.00,0.0079
3814.00,0.0080
3813.00,0.0080
3812.00,0.0079
3811.00,0.0077
3810.00,0.0077
3809.00,0.0077
3808.00,0.0076
3807.00,0.0076
3806.00,0.0077
3805.00,0.0080
3804.00,0.0083
3803.00,0.0083
3802.00,0.0082
3801.00,0.0081
3800.00,0.0081
3799.00,0.0082
3798.00,0.0081
3797.00,0.0079
3796.00,0.0078
3795.00,0.0079
3794.00,0.0079
3793.00,0.0080
3792.00,0.0079
3791.00,0.0079
3790.00,0.0078
3789.00,0.0079
3788.00,0.0079
3787.00,0.0080
3786.00,0.0080
3785.00,0.0080
3784.00,0.0080
3783.00,0.0080
3782.00,0.0080
3781.00,0.0080
3780.00,0.0079
3779.00,0.0079
3778.00,0.0079
3777.00,0.0079
3776.00,0.0079
3775.00,0.0078
3774.00,0.0078
3773.00,0.0078
3772.00,0.0078
3771.00,0.0078
3770.00,0.0077
3769.00,0.0077
3768.00,0.0078
3767.00,0.0079
3766.00,0.0079
3765.00,0.0078
3764.00,0.0079
3763.00,0.0079
3762.00,0.0080
3761.00,0.0080
3760.00,0.0079
3759.00,0.0079
3758.00,0.0078
3757.00,0.0078
3756.00,0.0078
3755.00,0.0079
3754.00,0.0079
3753.00,0.0078
3752.00,0.0078
3751.00,0.0079
3750.00,0.0080
3749.00,0.0080
3748.00,0.0082
3747.00,0.0085
3746.00,0.0086
3745.00,0.0084
3744.00,0.0081
3743.00,0.0080
3742.00,0.0080
3741.00,0.0080
3740.00,0.0080
3739.00,0.0081
3738.00,0.0082
3737.00,0.0083
3736.00,0.0082
3735.00,0.0083
3734.00,0.0083
3733.00,0.0082
3732.00,0.0081
3731.00,0.0079
3730.00,0.0079
3729.00,0.0080
3728.00,0.0080
3727.00,0.0079
3726.00,0.0079
3725.00,0.0080
3724.00,0.0080
3723.00,0.0080
3722.00,0.0080
3721.00,0.0080
3720.00,0.0081
3719.00,0.0081
3718.00,0.0080
3717.00,0.0079
3716.00,0.0079
3715.00,0.0079
3714.00,0.0079
3713.00,0.0079
3712.00,0.0080
3711.00,0.0080
3710.00,0.0080
3709.00,0.0080
3708.00,0.0079
3707.00,0.0079
3706.00,0.0080
3705.00,0.0081
3704.00,0.0081
3703.00,0.0080
3702.00,0.0079
3701.00,0.0079
3700.00,0.0079
3699.00,0.0080
3698.00,0.0080
3697.00,0.0080
3696.00,0.0079
3695.00,0.0079
3694.00,0.0079
3693.00,0.0079
3692.00,0.0080
3691.00,0.0082
3690.00,0.0084
3689.00,0.0085
3688.00,0.0084
3687.00,0.0083
3686.00,0.0082
3685.00,0.0081
3684.00,0.0080
3683.00,0.0079
3682.00,0.0079
3681.00,0.0078
3680.00,0.0077
3679.00,0.0076
3678.00,0.0077
3677.00,0.0077
3676.00,0.0076
3675.00,0.0076
3674.00,0.0078
3673.00,0.0080
3672.00,0.0081
3671.00,0.0081
3670.00,0.0082
3669.00,0.0083
3668.00,0.0083
3667.00,0.0082
3666.00,0.0081
3665.00,0.0079
3664.00,0.0078
3663.00,0.0078
3662.00,0.0079
3661.00,0.0079
3660.00,0.0081
3659.00,0.0082
3658.00,0.0083
3657.00,0.0083
3656.00,0.0082
3655.00,0.0083
3654.00,0.0084
3653.00,0.0086
3652.00,0.0086
3651.00,0.0084
3650.00,0.0084
3649.00,0.0085
3648.00,0.0086
3647.00,0.0086
3646.00,0.0085
3645.00,0.0085
3644.00,0.0084
3643.00,0.0084
3642.00,0.0084
3641.00,0.0084
3640.00,0.0084
3639.00,0.0084
3638.00,0.0084
3637.00,0.0085
3636.00,0.0085
3635.00,0.0085
3634.00,0.0085
3633.00,0.0086
3632.00,0.0087
3631.00,0.0088
3630.00,0.0088
3629.00,0.0088
3628.00,0.0089
3627.00,0.0089
3626.00,0.0088
3625.00,0.0087
3624.00,0.0086
3623.00,0.0086
3622.00,0.0087
3621.00,0.0089
3620.00,0.0090
3619.00,0.0091
3618.00,0.0091
3617.00,0.0091
3616.00,0.0092
3615.00,0.0092
3614.00,0.0091
3613.00,0.0090
3612.00,0.0091
3611.00,0.0091
3610.00,0.0092
3609.00,0.0093
3608.00,0.0093
3607.00,0.0094
3606.00,0.0093
3605.00,0.0092
3604.00,0.0091
3603.00,0.0090
3602.00,0.0091
3601.00,0.0092
3600.00,0.0092
3599.00,0.0092
3598.00,0.0092
3597.00,0.0091
3596.00,0.0091
3595.00,0.0091
3594.00,0.0091
3593.00,0.0091
3592.00,0.0091
3591.00,0.0092
3590.00,0.0092
3589.00,0.0093
3588.00,0.0094
3587.00,0.0095
3586.00,0.0095
3585.00,0.0095
3584.00,0.0095
3583.00,0.0094
3582.00,0.0093
3581.00,0.0092
3580.00,0.0092
3579.00,0.0092
3578.00,0.0093
3577.00,0.0093
3576.00,0.0094
3575.00,0.0094
3574.00,0.0094
3573.00,0.0095
3572.00,0.0095
3571.00,0.0096
3570.00,0.0096
3569.00,0.0096
3568.00,0.0097
3567.00,0.0098
3566.00,0.0098
3565.00,0.0098
3564.00,0.0097
3563.00,0.0096
3562.00,0.0095
3561.00,0.0095
3560.00,0.0095
3559.00,0.0095
3558.00,0.0096
3557.00,0.0097
3556.00,0.0097
3555.00,0.0098
3554.00,0.0098
3553.00,0.0098
3552.00,0.0098
3551.00,0.0099
3550.00,0.0100
3549.00,0.0100
3548.00,0.0100
3547.00,0.0100
3546.00,0.0101
3545.00,0.0101
3544.00,0.0101
3543.00,0.0100
3542.00,0.0100
3541.00,0.0100
3540.00,0.0099
3539.00,0.0098
3538.00,0.0097
3537.00,0.0097
3536.00,0.0097
3535.00,0.0098
3534.00,0.0100
3533.00,0.0101
3532.00,0.0101
3531.00,0.0101
3530.00,0.0100
3529.00,0.0099
3528.00,0.0098
3527.00,0.0098
3526.00,0.0099
3525.00,0.0101
3524.00,0.0102
3523.00,0.0103
3522.00,0.0103
3521.00,0.0102
3520.00,0.0101
3519.00,0.0099
3518.00,0.0098
3517.00,0.0098
3516.00,0.0097
3515.00,0.0098
3514.00,0.0099
3513.00,0.0100
3512.00,0.0102
3511.00,0.0102
3510.00,0.0102
3509.00,0.0101
3508.00,0.0100
3507.00,0.0100
3506.00,0.0100
3505.00,0.0101
3504.00,0.0102
3503.00,0.0103
3502.00,0.0103
3501.00,0.0103
3500.00,0.0102
3499.00,0.0102
3498.00,0.0103
3497.00,0.0103
3496.00,0.0104
3495.00,0.0104
3494.00,0.0103
3493.00,0.0103
3492.00,0.0103
3491.00,0.0102
3490.00,0.0102
3489.00,0.0102
3488.00,0.0102
3487.00,0.0102
3486.00,0.0102
3485.00,0.0102
3484.00,0.0103
3483.00,0.0103
3482.00,0.0103
3481.00,0.0103
3480.00,0.0103
3479.00,0.0103
3478.00,0.0103
3477.00,0.0103
3476.00,0.0103
3475.00,0.0104
3474.00,0.0104
3473.00,0.0105
3472.00,0.0105
3471.00,0.0106
3470.00,0.0106
3469.00,0.0106
3468.00,0.0106
3467.00,0.0106
3466.00,0.0106
3465.00,0.0106
3464.00,0.0106
3463.00,0.0105
3462.00,0.0104
3461.00,0.0103
3460.00,0.0103
3459.00,0.0104
3458.00,0.0105
3457.00,0.0106
3456.00,0.0106
3455.00,0.0106
3454.00,0.0106
3453.00,0.0106
3452.00,0.0107
3451.00,0.0107
3450.00,0.0108
3449.00,0.0108
3448.00,0.0108
3447.00,0.0107
3446.00,0.0107
3445.00,0.0107
3444.00,0.0107
3443.00,0.0107
3442.00,0.0107
3441.00,0.0106
3440.00,0.0105
3439.00,0.0104
3438.00,0.0104
3437.00,0.0105
3436.00,0.0105
3435.00,0.0106
3434.00,0.0106
3433.00,0.0106
3432.00,0.0106
3431.00,0.0107
3430.00,0.0107
3429.00,0.0106
3428.00,0.0106
3427.00,0.0106
3426.00,0.0107
3425.00,0.0107
3424.00,0.0108
3423.00,0.0109
3422.00,0.0109
3421.00,0.0109
3420.00,0.0109
3419.00,0.0109
3418.00,0.0109
3417.00,0.0109
3416.00,0.0108
3415.00,0.0108
3414.00,0.0107
3413.00,0.0107
3412.00,0.0107
3411.00,0.0107
3410.00,0.0108
3409.00,0.0108
3408.00,0.0109
3407.00,0.0110
3406.00,0.0109
3405.00,0.0109
3404.00,0.0108
3403.00,0.0108
3402.00,0.0108
3401.00,0.0109
3400.00,0.0109
3399.00,0.0110
3398.00,0.0110
3397.00,0.0109
3396.00,0.0108
3395.00,0.0108
3394.00,0.0108
3393.00,0.0109
3392.00,0.0110
3391.00,0.0110
3390.00,0.0110
3389.00,0.0110
3388.00,0.0110
3387.00,0.0110
3386.00,0.0109
3385.00,0.0109
3384.00,0.0109
3383.00,0.0110
3382.00,0.0110
3381.00,0.0110
3380.00,0.0111
3379.00,0.0111
3378.00,0.0111
3377.00,0.0111
3376.00,0.0110
3375.00,0.0110
3374.00,0.0110
3373.00,0.0110
3372.00,0.0109
