Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0371
3999.00,0.0371
3998.00,0.0370
3997.00,0.0370
3996.00,0.0370
3995.00,0.0369
3994.00,0.0369
3993.00,0.0369
3992.00,0.0369
3991.00,0.0369
3990.00,0.0369
3989.00,0.0368
3988.00,0.0368
3987.00,0.0368
3986.00,0.0368
3985.00,0.0369
3984.00,0.0369
3983.00,0.0369
3982.00,0.0369
3981.00,0.0369
3980.00,0.0368
3979.00,0.0368
3978.00,0.0368
3977.00,0.0367
3976.00,0.0367
3975.00,0.0366
3974.00,0.0366
3973.00,0.0366
3972.00,0.0367
3971.00,0.0368
3970.00,0.0368
3969.00,0.0368
3968.00,0.0368
3967.00,0.0367
3966.00,0.0367
3965.00,0.0366
3964.00,0.0367
3963.00,0.0368
3962.00,0.0368
3961.00,0.0368
3960.00,0.0367
3959.00,0.0366
3958.00,0.0366
3957.00,0.0366
3956.00,0.0366
3955.00,0.0365
3954.00,0.0364
3953.00,0.0364
3952.00,0.0364
3951.00,0.0364
3950.00,0.0364
3949.00,0.0365
3948.00,0.0365
3947.00,0.0365
3946.00,0.0364
3945.00,0.0364
3944.00,0.0364
3943.00,0.0364
3942.00,0.0363
3941.00,0.0362
3940.00,0.0363
3939.00,0.0364
3938.00,0.0365
3937.00,0.0364
3936.00,0.0363
3935.00,0.0362
3934.00,0.0362
3933.00,0.0362
3932.00,0.0362
3931.00,0.0362
3930.00,0.0362
3929.00,0.0362
3928.00,0.0361
3927.00,0.0362
3926.00,0.0362
3925.00,0.0362
3924.00,0.0361
3923.00,0.0360
3922.00,0.0360
3921.00,0.0360
3920.00,0.0360
3919.00,0.0360
3918.00,0.0362
3917.00,0.0363
3916.00,0.0363
3915.00,0.0363
3914.00,0.0364
3913.00,0.0364
3912.00,0.0364
3911.00,0.0363
3910.00,0.0362
3909.00,0.0360
3908.00,0.0357
3907.00,0.0355
3906.00,0.0353
3905.00,0.0352
3904.00,0.0352
3903.00,0.0351
3902.00,0.0352
3901.00,0.0355
3900.00,0.0357
3899.00,0.0358
3898.00,0.0358
3897.00,0.0357
3896.00,0.0358
3895.00,0.0357
3894.00,0.0357
3893.00,0.0358
3892.00,0.0359
3891.00,0.0357
3890.00,0.0353
3889.00,0.0352
3888.00,0.0353
3887.00,0.0356
3886.00,0.0357
3885.00,0.0355
3884.00,0.0352
3883.00,0.0352
3882.00,0.0354
3881.00,0.0356
3880.00,0.0355
3879.00,0.0353
3878.00,0.0353
3877.00,0.0356
3876.00,0.0358
3875.00,0.0357
3874.00,0.0353
3873.00,0.0349
3872.00,0.0349
3871.00,0.0352
3870.00,0.0353
3869.00,0.0351
3868.00,0.0349
3867.00,0.0350
3866.00,0.0353
3865.00,0.0355
3864.00,0.0356
3863.00,0.0356
3862.00,0.0357
3861.00,0.0357
3860.00,0.0357
3859.00,0.0354
3858.00,0.0349
3857.00,0.0343
3856.00,0.0339
3855.00,0.0340
3854.00,0.0346
3853.00,0.0348
3852.00,0.0346
3851.00,0.0347
3850.00,0.0352
3849.00,0.0356
3848.00,0.0356
3847.00,0.0355
3846.00,0.0354
3845.00,0.0353
3844.00,0.0351
3843.00,0.0349
3842.00,0.0347
3841.00,0.0346
3840.00,0.0348
3839.00,0.0350
3838.00,0.0351
3837.00,0.0350
3836.00,0.0349
3835.00,0.0350
3834.00,0.0352
3833.00,0.0355
3832.00,0.0356
3831.00,0.0355
3830.00,0.0355
3829.00,0.0356
3828.00,0.0356
3827.00,0.0355
3826.00,0.0352
3825.00,0.0349
3824.00,0.0348
3823.00,0.0350
3822.00,0.0353
3821.00,0.0352
3820.00,0.0347
3819.00,0.0345
3818.00,0.0349
3817.00,0.0354
3816.00,0.0357
3815.00,0.0356
3814.00,0.0355
3813.00,0.0357
3812.00,0.0358
3811.00,0.0356
3810.00,0.0353
3809.00,0.0352
3808.00,0.0354
3807.00,0.0354
3806.00,0.0351
