Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0014
3999.00,0.0014
3998.00,0.0014
3997.00,0.0014
3996.00,0.0013
3995.00,0.0013
3994.00,0.0013
3993.00,0.0013
3992.00,0.0013
3991.00,0.0013
3990.00,0.0013
3989.00,0.0013
3988.00,0.0013
3987.00,0.0013
3986.00,0.0013
3985.00,0.0013
3984.00,0.0013
3983.00,0.0013
3982.00,0.0012
3981.00,0.0012
3980.00,0.0012
3979.00,0.0012
3978.00,0.0012
3977.00,0.0012
3976.00,0.0011
3975.00,0.0011
3974.00,0.0011
3973.00,0.0011
3972.00,0.0012
3971.00,0.0012
3970.00,0.0013
3969.00,0.0013
3968.00,0.0013
3967.00,0.0012
3966.00,0.0011
3965.00,0.0010
3964.00,0.0011
3963.00,0.0012
3962.00,0.0013
3961.00,0.0013
3960.00,0.0012
3959.00,0.0011
3958.00,0.0011
3957.00,0.0011
3956.00,0.0011
3955.00,0.0010
3954.00,0.0010
3953.00,0.0009
3952.00,0.0009
3951.00,0.0010
3950.00,0.0011
3949.00,0.0012
3948.00,0.0013
3947.00,0.0013
3946.00,0.0012
3945.00,0.0012
3944.00,0.0011
3943.00,0.0011
3942.00,0.0010
3941.00,0.0010
3940.00,0.0010
3939.00,0.0011
3938.00,0.0011
3937.00,0.0011
3936.00,0.0010
3935.00,0.0010
3934.00,0.0010
3933.00,0.0010
3932.00,0.0010
3931.00,0.0010
3930.00,0.0010
3929.00,0.0010
3928.00,0.0010
3927.00,0.0010
3926.00,0.0011
3925.00,0.0011
3924.00,0.0011
3923.00,0.0011
3922.00,0.0010
3921.00,0.0010
3920.00,0.0009
3919.00,0.0009
3918.00,0.0010
3917.00,0.0010
3916.00,0.0011
3915.00,0.0011
3914.00,0.0010
3913.00,0.0010
3912.00,0.0010
3911.00,0.0010
3910.00,0.0010
3909.00,0.0010
3908.00,0.0009
3907.00,0.0008
3906.00,0.0007
3905.00,0.0006
3904.00,0.0006
3903.00,0.0005
3902.00,0.0005
3901.00,0.0006
3900.00,0.0007
3899.00,0.0008
3898.00,0.0008
3897.00,0.0008
3896.00,0.0008
3895.00,0.0008
3894.00,0.0009
3893.00,0.0009
3892.00,0.0009
3891.00,0.0008
3890.00,0.0006
3889.00,0.0004
3888.00,0.0004
3887.00,0.0004
3886.00,0.0005
3885.00,0.0005
3884.00,0.0004
3883.00,0.0004
3882.00,0.0005
3881.00,0.0006
