Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0179
3999.00,0.0179
3998.00,0.0179
3997.00,0.0179
3996.00,0.0179
3995.00,0.0179
3994.00,0.0179
3993.00,0.0179
3992.00,0.0179
3991.00,0.0179
3990.00,0.0179
3989.00,0.0179
3988.00,0.0179
3987.00,0.0179
3986.00,0.0179
3985.00,0.0179
3984.00,0.0179
3983.00,0.0178
3982.00,0.0178
3981.00,0.0178
3980.00,0.0179
3979.00,0.0179
3978.00,0.0180
3977.00,0.0180
3976.00,0.0179
3975.00,0.0179
3974.00,0.0179
3973.00,0.0179
3972.00,0.0179
3971.00,0.0179
3970.00,0.0179
3969.00,0.0179
3968.00,0.0178
3967.00,0.0178
3966.00,0.0178
3965.00,0.0179
3964.00,0.0179
3963.00,0.0179
3962.00,0.0179
3961.00,0.0179
3960.00,0.0179
3959.00,0.0179
3958.00,0.0179
3957.00,0.0179
3956.00,0.0178
3955.00,0.0178
3954.00,0.0178
3953.00,0.0179
3952.00,0.0179
3951.00,0.0179
3950.00,0.0179
3949.00,0.0179
3948.00,0.0178
3947.00,0.0178
3946.00,0.0178
3945.00,0.0178
3944.00,0.0178
3943.00,0.0178
3942.00,0.0177
3941.00,0.0177
3940.00,0.0177
3939.00,0.0177
3938.00,0.0178
3937.00,0.0178
3936.00,0.0179
3935.00,0.0179
3934.00,0.0180
3933.00,0.0180
3932.00,0.0179
3931.00,0.0178
3930.00,0.0178
3929.00,0.0177
3928.00,0.0177
3927.00,0.0178
3926.00,0.0178
3925.00,0.0178
3924.00,0.0177
3923.00,0.0177
3922.00,0.0177
3921.00,0.0177
3920.00,0.0177
3919.00,0.0177
3918.00,0.0177
3917.00,0.0176
3916.00,0.0176
3915.00,0.0175
3914.00,0.0176
3913.00,0.0176
3912.00,0.0176
3911.00,0.0176
3910.00,0.0177
3909.00,0.0177
3908.00,0.0177
3907.00,0.0177
3906.00,0.0177
3905.00,0.0176
3904.00,0.0175
3903.00,0.0175
3902.00,0.0175
3901.00,0.0176
3900.00,0.0176
3899.00,0.0175
3898.00,0.0175
3897.00,0.0175
3896.00,0.0176
3895.00,0.0177
3894.00,0.0177
3893.00,0.0177
3892.00,0.0176
3891.00,0.0175
3890.00,0.0174
3889.00,0.0174
3888.00,0.0175
3887.00,0.0176
3886.00,0.0176
3885.00,0.0176
3884.00,0.0175
3883.00,0.0176
3882.00,0.0177
3881.00,0.0176
3880.00,0.0174
3879.00,0.0173
3878.00,0.0173
3877.00,0.0174
3876.00,0.0176
3875.00,0.0176
3874.00,0.0176
3873.00,0.0176
3872.00,0.0176
3871.00,0.0176
3870.00,0.0175
