Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0325
3999.00,0.0326
3998.00,0.0326
3997.00,0.0326
3996.00,0.0326
3995.00,0.0325
3994.00,0.0325
3993.00,0.0325
3992.00,0.0325
3991.00,0.0324
3990.00,0.0324
3989.00,0.0324
3988.00,0.0324
3987.00,0.0325
3986.00,0.0325
3985.00,0.0325
3984.00,0.0325
3983.00,0.0325
3982.00,0.0324
3981.00,0.0324
3980.00,0.0325
3979.00,0.0325
3978.00,0.0325
3977.00,0.0325
3976.00,0.0325
3975.00,0.0325
3974.00,0.0324
3973.00,0.0324
3972.00,0.0324
3971.00,0.0325
3970.00,0.0325
3969.00,0.0324
3968.00,0.0324
3967.00,0.0324
3966.00,0.0325
3965.00,0.0325
3964.00,0.0325
3963.00,0.0325
3962.00,0.0325
3961.00,0.0325
3960.00,0.0325
3959.00,0.0325
3958.00,0.0325
3957.00,0.0325
3956.00,0.0325
3955.00,0.0325
3954.00,0.0325
3953.00,0.0325
3952.00,0.0325
3951.00,0.0325
3950.00,0.0326
3949.00,0.0326
3948.00,0.0326
3947.00,0.0326
3946.00,0.0326
3945.00,0.0326
3944.00,0.0326
3943.00,0.0325
3942.00,0.0325
3941.00,0.0324
3940.00,0.0324
3939.00,0.0325
3938.00,0.0325
3937.00,0.0325
3936.00,0.0326
3935.00,0.0327
3934.00,0.0327
3933.00,0.0327
3932.00,0.0326
3931.00,0.0326
3930.00,0.0325
3929.00,0.0325
3928.00,0.0325
3927.00,0.0325
3926.00,0.0325
3925.00,0.0325
3924.00,0.0324
3923.00,0.0324
3922.00,0.0325
3921.00,0.0325
3920.00,0.0325
3919.00,0.0325
3918.00,0.0325
3917.00,0.0325
3916.00,0.0324
3915.00,0.0324
3914.00,0.0323
3913.00,0.0323
3912.00,0.0323
3911.00,0.0323
3910.00,0.0324
3909.00,0.0325
3908.00,0.0326
3907.00,0.0327
3906.00,0.0327
3905.00,0.0328
3904.00,0.0328
3903.00,0.0329
3902.00,0.0329
3901.00,0.0328
3900.00,0.0327
3899.00,0.0326
3898.00,0.0325
3897.00,0.0325
3896.00,0.0326
3895.00,0.0326
3894.00,0.0326
3893.00,0.0325
3892.00,0.0324
3891.00,0.0324
3890.00,0.0325
3889.00,0.0325
3888.00,0.0325
3887.00,0.0326
3886.00,0.0326
3885.00,0.0326
3884.00,0.0326
3883.00,0.0325
3882.00,0.0325
3881.00,0.0324
3880.00,0.0323
3879.00,0.0324
3878.00,0.0324
3877.00,0.0325
3876.00,0.0325
3875.00,0.0325
3874.00,0.0325
3873.00,0.0325
3872.00,0.0324
3871.00,0.0324
3870.00,0.0324
3869.00,0.0324
3868.00,0.0324
3867.00,0.0325
3866.00,0.0326
3865.00,0.0325
3864.00,0.0324
3863.00,0.0323
3862.00,0.0323
3861.00,0.0324
3860.00,0.0325
3859.00,0.0325
3858.00,0.0325
3857.00,0.0324
3856.00,0.0324
3855.00,0.0325
3854.00,0.0326
3853.00,0.0325
3852.00,0.0323
3851.00,0.0322
3850.00,0.0322
3849.00,0.0323
3848.00,0.0323
3847.00,0.0323
3846.00,0.0323
3845.00,0.0324
3844.00,0.0325
3843.00,0.0325
3842.00,0.0326
3841.00,0.0325
3840.00,0.0324
3839.00,0.0324
3838.00,0.0323
3837.00,0.0323
3836.00,0.0323
3835.00,0.0322
3834.00,0.0322
3833.00,0.0322
3832.00,0.0323
3831.00,0.0323
3830.00,0.0324
3829.00,0.0323
3828.00,0.0323
3827.00,0.0323
3826.00,0.0322
3825.00,0.0322
3824.00,0.0323
3823.00,0.0324
3822.00,0.0325
3821.00,0.0325
3820.00,0.0324
3819.00,0.0323
3818.00,0.0322
3817.00,0.0321
3816.00,0.0320
3815.00,0.0319
3814.00,0.0319
3813.00,0.0319
3812.00,0.0320
3811.00,0.0320
3810.00,0.0319
3809.00,0.0319
3808.00,0.0320
3807.00,0.0322
3806.00,0.0322
3805.00,0.0322
3804.00,0.0322
3803.00,0.0321
3802.00,0.0321
3801.00,0.0321
3800.00,0.0320
