Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0214
3999.00,0.0215
3998.00,0.0215
3997.00,0.0215
3996.00,0.0215
3995.00,0.0214
3994.00,0.0214
3993.00,0.0214
3992.00,0.0214
3991.00,0.0213
3990.00,0.0213
3989.00,0.0213
3988.00,0.0213
3987.00,0.0213
3986.00,0.0213
3985.00,0.0213
3984.00,0.0213
3983.00,0.0213
3982.00,0.0213
3981.00,0.0213
3980.00,0.0212
3979.00,0.0212
3978.00,0.0212
3977.00,0.0212
3976.00,0.0212
3975.00,0.0212
3974.00,0.0212
3973.00,0.0212
3972.00,0.0212
3971.00,0.0213
3970.00,0.0213
3969.00,0.0213
3968.00,0.0212
3967.00,0.0211
3966.00,0.0211
3965.00,0.0211
3964.00,0.0211
3963.00,0.0212
3962.00,0.0213
3961.00,0.0213
3960.00,0.0212
3959.00,0.0211
3958.00,0.0211
3957.00,0.0210
3956.00,0.0210
3955.00,0.0210
3954.00,0.0210
3953.00,0.0210
3952.00,0.0210
3951.00,0.0211
3950.00,0.0211
3949.00,0.0212
3948.00,0.0212
3947.00,0.0212
3946.00,0.0213
3945.00,0.0212
3944.00,0.0211
3943.00,0.0210
3942.00,0.0209
3941.00,0.0209
3940.00,0.0209
3939.00,0.0209
3938.00,0.0209
3937.00,0.0209
3936.00,0.0209
3935.00,0.0209
3934.00,0.0209
3933.00,0.0209
3932.00,0.0209
3931.00,0.0210
3930.00,0.0210
3929.00,0.0211
3928.00,0.0211
3927.00,0.0211
3926.00,0.0211
3925.00,0.0210
3924.00,0.0210
3923.00,0.0210
3922.00,0.0210
3921.00,0.0210
3920.00,0.0209
3919.00,0.0209
3918.00,0.0209
3917.00,0.0209
3916.00,0.0209
3915.00,0.0209
3914.00,0.0209
3913.00,0.0208
3912.00,0.0207
3911.00,0.0207
3910.00,0.0206
3909.00,0.0207
3908.00,0.0207
3907.00,0.0208
3906.00,0.0208
3905.00,0.0207
3904.00,0.0207
3903.00,0.0209
3902.00,0.0211
3901.00,0.0212
3900.00,0.0212
3899.00,0.0210
3898.00,0.0208
3897.00,0.0207
3896.00,0.0207
3895.00,0.0207
3894.00,0.0208
3893.00,0.0208
3892.00,0.0206
3891.00,0.0204
3890.00,0.0204
3889.00,0.0205
3888.00,0.0206
3887.00,0.0205
3886.00,0.0203
3885.00,0.0202
3884.00,0.0204
3883.00,0.0207
3882.00,0.0207
3881.00,0.0205
3880.00,0.0203
3879.00,0.0203
3878.00,0.0206
3877.00,0.0208
3876.00,0.0208
3875.00,0.0206
3874.00,0.0204
3873.00,0.0205
3872.00,0.0207
3871.00,0.0207
3870.00,0.0205
3869.00,0.0204
3868.00,0.0206
3867.00,0.0207
3866.00,0.0206
3865.00,0.0205
3864.00,0.0205
3863.00,0.0206
3862.00,0.0206
3861.00,0.0206
3860.00,0.0205
3859.00,0.0204
3858.00,0.0203
3857.00,0.0204
3856.00,0.0204
3855.00,0.0201
3854.00,0.0199
3853.00,0.0200
3852.00,0.0202
3851.00,0.0204
3850.00,0.0204
3849.00,0.0202
3848.00,0.0201
3847.00,0.0200
3846.00,0.0201
3845.00,0.0201
3844.00,0.0201
3843.00,0.0201
3842.00,0.0202
3841.00,0.0204
3840.00,0.0205
3839.00,0.0205
3838.00,0.0204
3837.00,0.0203
3836.00,0.0203
3835.00,0.0203
3834.00,0.0204
3833.00,0.0203
3832.00,0.0202
3831.00,0.0202
3830.00,0.0202
3829.00,0.0203
3828.00,0.0202
3827.00,0.0199
3826.00,0.0198
3825.00,0.0199
3824.00,0.0202
3823.00,0.0204
3822.00,0.0202
3821.00,0.0199
3820.00,0.0199
3819.00,0.0201
3818.00,0.0202
3817.00,0.0201
3816.00,0.0198
3815.00,0.0198
3814.00,0.0199
3813.00,0.0199
3812.00,0.0198
3811.00,0.0196
3810.00,0.0196
3809.00,0.0197
3808.00,0.0196
3807.00,0.0195
3806.00,0.0196
3805.00,0.0199
3804.00,0.0203
3803.00,0.0204
3802.00,0.0201
3801.00,0.0199
3800.00,0.0199
3799.00,0.0200
3798.00,0.0200
3797.00,0.0198
3796.00,0.0196
3795.00,0.0196
