Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0111
3999.00,0.0111
3998.00,0.0111
3997.00,0.0110
3996.00,0.0110
3995.00,0.0110
3994.00,0.0110
3993.00,0.0110
3992.00,0.0110
3991.00,0.0110
3990.00,0.0110
3989.00,0.0110
3988.00,0.0110
3987.00,0.0110
3986.00,0.0110
3985.00,0.0110
3984.00,0.0110
3983.00,0.0110
3982.00,0.0110
3981.00,0.0110
3980.00,0.0110
3979.00,0.0110
3978.00,0.0110
3977.00,0.0110
3976.00,0.0110
3975.00,0.0110
3974.00,0.0110
3973.00,0.0110
3972.00,0.0110
3971.00,0.0110
3970.00,0.0110
3969.00,0.0109
3968.00,0.0109
3967.00,0.0109
3966.00,0.0109
3965.00,0.0110
3964.00,0.0110
3963.00,0.0110
3962.00,0.0110
3961.00,0.0110
3960.00,0.0110
3959.00,0.0110
3958.00,0.0110
3957.00,0.0110
3956.00,0.0109
3955.00,0.0109
3954.00,0.0109
3953.00,0.0109
3952.00,0.0109
3951.00,0.0110
3950.00,0.0110
3949.00,0.0109
3948.00,0.0110
3947.00,0.0110
3946.00,0.0110
3945.00,0.0110
3944.00,0.0109
3943.00,0.0109
3942.00,0.0108
3941.00,0.0108
3940.00,0.0109
3939.00,0.0109
3938.00,0.0109
3937.00,0.0110
3936.00,0.0110
3935.00,0.0111
3934.00,0.0111
3933.00,0.0111
3932.00,0.0111
3931.00,0.0110
3930.00,0.0109
3929.00,0.0109
3928.00,0.0109
3927.00,0.0108
3926.00,0.0108
3925.00,0.0108
3924.00,0.0108
3923.00,0.0108
3922.00,0.0109
3921.00,0.0109
3920.00,0.0110
3919.00,0.0110
3918.00,0.0110
3917.00,0.0110
3916.00,0.0109
3915.00,0.0109
3914.00,0.0109
3913.00,0.0109
3912.00,0.0109
3911.00,0.0109
3910.00,0.0109
3909.00,0.0110
3908.00,0.0110
3907.00,0.0110
3906.00,0.0110
3905.00,0.0110
3904.00,0.0110
3903.00,0.0110
3902.00,0.0111
3901.00,0.0111
