Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0133
3999.00,0.0133
3998.00,0.0133
3997.00,0.0133
3996.00,0.0133
3995.00,0.0133
3994.00,0.0133
3993.00,0.0133
3992.00,0.0133
3991.00,0.0133
3990.00,0.0133
3989.00,0.0133
3988.00,0.0133
3987.00,0.0133
3986.00,0.0133
3985.00,0.0133
3984.00,0.0133
3983.00,0.0133
3982.00,0.0133
3981.00,0.0133
3980.00,0.0133
3979.00,0.0133
3978.00,0.0134
3977.00,0.0134
3976.00,0.0134
3975.00,0.0133
3974.00,0.0133
3973.00,0.0133
3972.00,0.0133
3971.00,0.0133
3970.00,0.0133
3969.00,0.0133
3968.00,0.0133
3967.00,0.0133
3966.00,0.0133
3965.00,0.0133
3964.00,0.0134
3963.00,0.0134
3962.00,0.0134
3961.00,0.0134
3960.00,0.0134
3959.00,0.0134
3958.00,0.0134
3957.00,0.0134
3956.00,0.0133
3955.00,0.0133
3954.00,0.0133
3953.00,0.0133
3952.00,0.0134
3951.00,0.0134
3950.00,0.0135
3949.00,0.0135
3948.00,0.0136
3947.00,0.0136
3946.00,0.0135
3945.00,0.0134
3944.00,0.0134
3943.00,0.0133
3942.00,0.0133
3941.00,0.0133
3940.00,0.0133
3939.00,0.0134
3938.00,0.0133
3937.00,0.0134
3936.00,0.0134
3935.00,0.0136
3934.00,0.0136
3933.00,0.0137
3932.00,0.0136
3931.00,0.0135
3930.00,0.0135
3929.00,0.0134
3928.00,0.0134
3927.00,0.0134
3926.00,0.0133
3925.00,0.0133
3924.00,0.0133
3923.00,0.0134
3922.00,0.0135
3921.00,0.0136
3920.00,0.0136
3919.00,0.0137
3918.00,0.0136
3917.00,0.0136
3916.00,0.0135
3915.00,0.0134
3914.00,0.0133
3913.00,0.0133
3912.00,0.0132
3911.00,0.0132
3910.00,0.0133
3909.00,0.0133
3908.00,0.0134
3907.00,0.0135
3906.00,0.0137
3905.00,0.0138
3904.00,0.0140
3903.00,0.0141
3902.00,0.0141
3901.00,0.0140
3900.00,0.0139
3899.00,0.0137
3898.00,0.0136
3897.00,0.0136
3896.00,0.0136
3895.00,0.0136
3894.00,0.0136
3893.00,0.0136
3892.00,0.0136
3891.00,0.0136
3890.00,0.0136
3889.00,0.0137
3888.00,0.0138
3887.00,0.0138
3886.00,0.0138
3885.00,0.0137
3884.00,0.0136
3883.00,0.0137
3882.00,0.0136
3881.00,0.0135
3880.00,0.0134
3879.00,0.0134
3878.00,0.0135
3877.00,0.0135
3876.00,0.0135
3875.00,0.0135
3874.00,0.0135
3873.00,0.0136
3872.00,0.0137
3871.00,0.0138
3870.00,0.0138
3869.00,0.0137
3868.00,0.0138
3867.00,0.0139
3866.00,0.0140
3865.00,0.0139
3864.00,0.0137
3863.00,0.0136
3862.00,0.0137
3861.00,0.0137
3860.00,0.0137
3859.00,0.0137
3858.00,0.0136
3857.00,0.0136
3856.00,0.0138
3855.00,0.0139
3854.00,0.0139
3853.00,0.0138
3852.00,0.0137
3851.00,0.0136
3850.00,0.0137
3849.00,0.0137
3848.00,0.0136
3847.00,0.0135
3846.00,0.0135
3845.00,0.0135
3844.00,0.0135
3843.00,0.0136
3842.00,0.0137
3841.00,0.0138
3840.00,0.0138
3839.00,0.0137
3838.00,0.0137
3837.00,0.0136
3836.00,0.0136
3835.00,0.0136
3834.00,0.0136
3833.00,0.0135
3832.00,0.0135
3831.00,0.0136
3830.00,0.0136
3829.00,0.0136
3828.00,0.0135
3827.00,0.0135
3826.00,0.0134
3825.00,0.0135
3824.00,0.0137
3823.00,0.0139
3822.00,0.0139
3821.00,0.0137
3820.00,0.0136
3819.00,0.0137
3818.00,0.0137
3817.00,0.0136
3816.00,0.0134
3815.00,0.0133
3814.00,0.0132
3813.00,0.0133
3812.00,0.0134
3811.00,0.0133
3810.00,0.0133
3809.00,0.0133
3808.00,0.0135
3807.00,0.0135
3806.00,0.0135
3805.00,0.0136
3804.00,0.0137
3803.00,0.0137
3802.00,0.0135
3801.00,0.0134
3800.00,0.0133
3799.00,0.0134
3798.00,0.0134
3797.00,0.0134
3796.00,0.0133
3795.00,0.0133
3794.00,0.0132
3793.00,0.0132
3792.00,0.0131
