Created as New Dataset,
cm-1,A
4000.00,0.0092
3999.00,0.0092
3998.00,0.0092
3997.00,0.0092
3996.00,0.0093
3995.00,0.0093
3994.00,0.0093
3993.00,0.0092
3992.00,0.0092
3991.00,0.0092
3990.00,0.0091
3989.00,0.0091
3988.00,0.0091
3987.00,0.0092
3986.00,0.0092
3985.00,0.0092
3984.00,0.0092
3983.00,0.0092
3982.00,0.0092
3981.00,0.0092
3980.00,0.0092
3979.00,0.0092
3978.00,0.0092
3977.00,0.0091
3976.00,0.0091
3975.00,0.0091
3974.00,0.0091
3973.00,0.0091
3972.00,0.0091
3971.00,0.0090
3970.00,0.0090
3969.00,0.0089
3968.00,0.0089
3967.00,0.0089
3966.00,0.0089
3965.00,0.0089
3964.00,0.0090
3963.00,0.0090
3962.00,0.0090
3961.00,0.0090
3960.00,0.0090
3959.00,0.0091
3958.00,0.0091
3957.00,0.0090
3956.00,0.0090
3955.00,0.0089
3954.00,0.0089
3953.00,0.0088
3952.00,0.0087
3951.00,0.0087
3950.00,0.0087
3949.00,0.0087
3948.00,0.0087
3947.00,0.0087
3946.00,0.0087
3945.00,0.0087
3944.00,0.0088
3943.00,0.0088
3942.00,0.0088
3941.00,0.0088
3940.00,0.0088
3939.00,0.0089
3938.00,0.0089
3937.00,0.0088
3936.00,0.0087
3935.00,0.0087
3934.00,0.0086
3933.00,0.0086
3932.00,0.0087
3931.00,0.0087
3930.00,0.0086
3929.00,0.0086
3928.00,0.0085
3927.00,0.0085
3926.00,0.0085
3925.00,0.0085
3924.00,0.0085
3923.00,0.0085
3922.00,0.0084
3921.00,0.0084
3920.00,0.0084
3919.00,0.0085
3918.00,0.0085
3917.00,0.0086
3916.00,0.0086
3915.00,0.0086
3914.00,0.0086
3913.00,0.0088
3912.00,0.0088
3911.00,0.0088
3910.00,0.0088
3909.00,0.0086
3908.00,0.0084
3907.00,0.0082
3906.00,0.0080
3905.00,0.0079
3904.00,0.0078
3903.00,0.0077
3902.00,0.0077
3901.00,0.0079
3900.00,0.0081
3899.00,0.0082
3898.00,0.0082
3897.00,0.0082
3896.00,0.0083
3895.00,0.0083
3894.00,0.0083
3893.00,0.0083
3892.00,0.0084
3891.00,0.0083
3890.00,0.0081
3889.00,0.0080
3888.00,0.0081
3887.00,0.0083
3886.00,0.0084
3885.00,0.0082
3884.00,0.0080
3883.00,0.0079
3882.00,0.0080
3881.00,0.0082
3880.00,0.0082
3879.00,0.0080
3878.00,0.0080
3877.00,0.0081
3876.00,0.0082
3875.00,0.0082
3874.00,0.0079
3873.00,0.0077
3872.00,0.0076
3871.00,0.0077
3870.00,0.0078
3869.00,0.0076
3868.00,0.0075
3867.00,0.0076
3866.00,0.0079
3865.00,0.0080
3864.00,0.0080
3863.00,0.0080
3862.00,0.0080
3861.00,0.0081
3860.00,0.0081
3859.00,0.0080
3858.00,0.0078
3857.00,0.0074
3856.00,0.0071
3855.00,0.0071
3854.00,0.0074
3853.00,0.0075
3852.00,0.0071
3851.00,0.0071
3850.00,0.0076
3849.00,0.0081
3848.00,0.0082
3847.00,0.0082
3846.00,0.0081
3845.00,0.0080
3844.00,0.0078
3843.00,0.0075
3842.00,0.0073
3841.00,0.0072
3840.00,0.0072
3839.00,0.0074
3838.00,0.0074
3837.00,0.0074
3836.00,0.0073
3835.00,0.0074
3834.00,0.0076
3833.00,0.0079
3832.00,0.0080
3831.00,0.0080
3830.00,0.0080
3829.00,0.0081
3828.00,0.0082
3827.00,0.0082
3826.00,0.0080
3825.00,0.0077
3824.00,0.0074
3823.00,0.0074
3822.00,0.0075
3821.00,0.0075
3820.00,0.0072
3819.00,0.0071
3818.00,0.0073
3817.00,0.0078
3816.00,0.0080
3815.00,0.0080
3814.00,0.0079
3813.00,0.0081
3812.00,0.0083
3811.00,0.0082
3810.00,0.0081
3809.00,0.0080
3808.00,0.0080
3807.00,0.0079
3806.00,0.0076
3805.00,0.0073
3804.00,0.0073
3803.00,0.0075
3802.00,0.0077
