Created as New Dataset,
cm-1,A
4000.00,0.0116
3999.00,0.0116
3998.00,0.0116
3997.00,0.0116
3996.00,0.0116
3995.00,0.0116
3994.00,0.0115
3993.00,0.0116
3992.00,0.0116
3991.00,0.0116
3990.00,0.0115
3989.00,0.0115
3988.00,0.0114
3987.00,0.0114
3986.00,0.0114
3985.00,0.0114
3984.00,0.0114
3983.00,0.0114
3982.00,0.0114
3981.00,0.0114
3980.00,0.0115
3979.00,0.0115
3978.00,0.0114
3977.00,0.0114
3976.00,0.0114
3975.00,0.0114
3974.00,0.0114
3973.00,0.0114
3972.00,0.0114
3971.00,0.0113
3970.00,0.0113
3969.00,0.0112
3968.00,0.0112
3967.00,0.0111
3966.00,0.0111
3965.00,0.0111
3964.00,0.0112
3963.00,0.0112
3962.00,0.0113
3961.00,0.0113
3960.00,0.0113
3959.00,0.0113
3958.00,0.0113
3957.00,0.0112
3956.00,0.0112
3955.00,0.0111
3954.00,0.0111
3953.00,0.0110
3952.00,0.0110
3951.00,0.0109
3950.00,0.0109
3949.00,0.0109
3948.00,0.0109
3947.00,0.0108
3946.00,0.0108
3945.00,0.0108
3944.00,0.0109
3943.00,0.0110
3942.00,0.0109
3941.00,0.0109
3940.00,0.0109
3939.00,0.0110
3938.00,0.0110
3937.00,0.0110
3936.00,0.0109
3935.00,0.0109
3934.00,0.0108
3933.00,0.0108
3932.00,0.0107
3931.00,0.0107
3930.00,0.0106
3929.00,0.0106
3928.00,0.0106
3927.00,0.0106
3926.00,0.0107
3925.00,0.0106
3924.00,0.0105
3923.00,0.0104
3922.00,0.0104
3921.00,0.0105
3920.00,0.0105
3919.00,0.0105
3918.00,0.0106
3917.00,0.0106
3916.00,0.0106
3915.00,0.0106
3914.00,0.0107
3913.00,0.0109
3912.00,0.0109
3911.00,0.0109
3910.00,0.0108
3909.00,0.0106
3908.00,0.0103
3907.00,0.0100
3906.00,0.0098
3905.00,0.0096
3904.00,0.0095
3903.00,0.0094
3902.00,0.0095
3901.00,0.0097
3900.00,0.0099
3899.00,0.0101
3898.00,0.0101
3897.00,0.0101
3896.00,0.0102
3895.00,0.0102
3894.00,0.0102
3893.00,0.0102
3892.00,0.0103
3891.00,0.0102
3890.00,0.0100
3889.00,0.0099
3888.00,0.0100
3887.00,0.0102
3886.00,0.0102
3885.00,0.0100
3884.00,0.0097
3883.00,0.0097
3882.00,0.0099
3881.00,0.0101
3880.00,0.0100
3879.00,0.0099
3878.00,0.0098
3877.00,0.0100
3876.00,0.0101
3875.00,0.0099
3874.00,0.0096
3873.00,0.0092
3872.00,0.0092
3871.00,0.0095
3870.00,0.0095
3869.00,0.0093
3868.00,0.0092
3867.00,0.0094
3866.00,0.0097
3865.00,0.0098
3864.00,0.0097
3863.00,0.0097
3862.00,0.0098
3861.00,0.0099
3860.00,0.0099
3859.00,0.0097
3858.00,0.0094
3857.00,0.0089
3856.00,0.0085
3855.00,0.0086
3854.00,0.0090
3853.00,0.0090
3852.00,0.0085
3851.00,0.0086
3850.00,0.0092
3849.00,0.0097
3848.00,0.0099
3847.00,0.0100
3846.00,0.0099
3845.00,0.0097
3844.00,0.0095
3843.00,0.0092
3842.00,0.0089
3841.00,0.0087
3840.00,0.0088
3839.00,0.0089
3838.00,0.0090
3837.00,0.0089
3836.00,0.0089
