Created as New Dataset,
cm-1,A
4000.00,0.0221
3999.00,0.0221
3998.00,0.0220
3997.00,0.0219
3996.00,0.0222
3995.00,0.0222
3994.00,0.0223
3993.00,0.0223
3992.00,0.0223
3991.00,0.0223
3990.00,0.0222
3989.00,0.0222
3988.00,0.0222
3987.00,0.0222
3986.00,0.0221
3985.00,0.0222
3984.00,0.0222
3983.00,0.0222
3982.00,0.0222
3981.00,0.0222
3980.00,0.0223
3979.00,0.0223
3978.00,0.0223
3977.00,0.0223
3976.00,0.0223
3975.00,0.0223
3974.00,0.0224
3973.00,0.0223
3972.00,0.0223
3971.00,0.0223
3970.00,0.0222
3969.00,0.0221
3968.00,0.0221
3967.00,0.0220
3966.00,0.0220
3965.00,0.0221
3964.00,0.0221
3963.00,0.0222
3962.00,0.0222
3961.00,0.0222
3960.00,0.0222
3959.00,0.0223
3958.00,0.0223
3957.00,0.0223
3956.00,0.0223
3955.00,0.0223
3954.00,0.0223
3953.00,0.0223
3952.00,0.0223
3951.00,0.0224
3950.00,0.0224
3949.00,0.0224
3948.00,0.0224
3947.00,0.0224
3946.00,0.0225
3945.00,0.0227
3944.00,0.0227
3943.00,0.0226
3942.00,0.0225
3941.00,0.0224
3940.00,0.0224
3939.00,0.0224
3938.00,0.0222
3937.00,0.0222
3936.00,0.0222
3935.00,0.0223
3934.00,0.0223
3933.00,0.0224
3932.00,0.0224
3931.00,0.0225
3930.00,0.0226
3929.00,0.0226
3928.00,0.0226
3927.00,0.0227
3926.00,0.0226
3925.00,0.0225
3924.00,0.0224
3923.00,0.0224
3922.00,0.0225
3921.00,0.0224
3920.00,0.0223
3919.00,0.0223
3918.00,0.0223
3917.00,0.0223
3916.00,0.0223
3915.00,0.0223
3914.00,0.0222
3913.00,0.0221
3912.00,0.0220
3911.00,0.0220
3910.00,0.0220
3909.00,0.0220
3908.00,0.0222
3907.00,0.0223
3906.00,0.0224
3905.00,0.0224
3904.00,0.0224
3903.00,0.0226
3902.00,0.0230
3901.00,0.0232
3900.00,0.0232
3899.00,0.0229
3898.00,0.0227
3897.00,0.0225
3896.00,0.0225
3895.00,0.0224
3894.00,0.0224
3893.00,0.0224
3892.00,0.0222
3891.00,0.0220
3890.00,0.0220
3889.00,0.0222
3888.00,0.0225
3887.00,0.0225
3886.00,0.0223
3885.00,0.0222
3884.00,0.0226
3883.00,0.0231
3882.00,0.0232
3881.00,0.0230
3880.00,0.0225
3879.00,0.0223
3878.00,0.0224
3877.00,0.0226
3876.00,0.0227
3875.00,0.0225
3874.00,0.0222
3873.00,0.0224
3872.00,0.0227
3871.00,0.0227
3870.00,0.0224
3869.00,0.0222
3868.00,0.0224
3867.00,0.0227
3866.00,0.0228
3865.00,0.0225
3864.00,0.0223
3863.00,0.0224
3862.00,0.0224
3861.00,0.0223
3860.00,0.0221
3859.00,0.0220
3858.00,0.0219
3857.00,0.0220
3856.00,0.0222
3855.00,0.0222
3854.00,0.0221
3853.00,0.0221
3852.00,0.0224
3851.00,0.0226
3850.00,0.0226
3849.00,0.0223
3848.00,0.0221
3847.00,0.0220
3846.00,0.0219
3845.00,0.0219
3844.00,0.0219
3843.00,0.0219
3842.00,0.0221
3841.00,0.0223
3840.00,0.0224
3839.00,0.0224
3838.00,0.0224
3837.00,0.0224
3836.00,0.0224
3835.00,0.0224
3834.00,0.0224
3833.00,0.0222
3832.00,0.0220
3831.00,0.0219
3830.00,0.0219
3829.00,0.0221
3828.00,0.0221
3827.00,0.0219
3826.00,0.0217
3825.00,0.0217
3824.00,0.0220
3823.00,0.0223
3822.00,0.0220
3821.00,0.0217
3820.00,0.0217
3819.00,0.0221
3818.00,0.0224
3817.00,0.0223
3816.00,0.0219
3815.00,0.0216
3814.00,0.0218
3813.00,0.0219
3812.00,0.0217
3811.00,0.0214
3810.00,0.0213
3809.00,0.0214
3808.00,0.0213
3807.00,0.0211
3806.00,0.0211
3805.00,0.0214
3804.00,0.0220
3803.00,0.0221
3802.00,0.0218
3801.00,0.0216
3800.00,0.0218
3799.00,0.0222
3798.00,0.0223
3797.00,0.0220
3796.00,0.0217
3795.00,0.0216
3794.00,0.0217
3793.00,0.0217
3792.00,0.0216
3791.00,0.0215
3790.00,0.0215
3789.00,0.0215
3788.00,0.0215
3787.00,0.0215
3786.00,0.0215
3785.00,0.0215
3784.00,0.0215
3783.00,0.0215
3782.00,0.0217
3781.00,0.0217
3780.00,0.0216
3779.00,0.0214
3778.00,0.0215
3777.00,0.0215
3776.00,0.0215
3775.00,0.0214
3774.00,0.0212
3773.00,0.0212
3772.00,0.0213
3771.00,0.0212
3770.00,0.0211
3769.00,0.0212
3768.00,0.0215
3767.00,0.0217
3766.00,0.0216
3765.00,0.0214
3764.00,0.0213
3763.00,0.0215
3762.00,0.0217
3761.00,0.0217
3760.00,0.0216
3759.00,0.0216
3758.00,0.0216
3757.00,0.0215
3756.00,0.0214
3755.00,0.0214
3754.00,0.0213
3753.00,0.0209
3752.00,0.0206
3751.00,0.0206
3750.00,0.0209
3749.00,0.0210
3748.00,0.0213
3747.00,0.0219
3746.00,0.0222
3745.00,0.0219
3744.00,0.0215
3743.00,0.0215
3742.00,0.0217
3741.00,0.0217
3740.00,0.0215
3739.00,0.0213
3738.00,0.0214
3737.00,0.0215
3736.00,0.0215
3735.00,0.0216
3734.00,0.0218
3733.00,0.0217
3732.00,0.0215
3731.00,0.0212
3730.00,0.0212
3729.00,0.0214
3728.00,0.0215
3727.00,0.0214
3726.00,0.0214
3725.00,0.0216
3724.00,0.0219
3723.00,0.0219
3722.00,0.0219
3721.00,0.0218
3720.00,0.0217
3719.00,0.0217
3718.00,0.0215
3717.00,0.0214
3716.00,0.0215
3715.00,0.0216
3714.00,0.0217
3713.00,0.0216
3712.00,0.0217
3711.00,0.0220
3710.00,0.0223
3709.00,0.0225
3708.00,0.0225
3707.00,0.0225
3706.00,0.0224
3705.00,0.0225
3704.00,0.0227
3703.00,0.0230
3702.00,0.0232
3701.00,0.0233
3700.00,0.0234
3699.00,0.0235
3698.00,0.0235
3697.00,0.0234
3696.00,0.0233
3695.00,0.0233
3694.00,0.0234
3693.00,0.0235
3692.00,0.0235
3691.00,0.0235
3690.00,0.0236
3689.00,0.0237
3688.00,0.0236
3687.00,0.0235
3686.00,0.0235
3685.00,0.0233
3684.00,0.0231
3683.00,0.0229
3682.00,0.0228
3681.00,0.0227
3680.00,0.0225
3679.00,0.0225
3678.00,0.0229
3677.00,0.0232
3676.00,0.0233
3675.00,0.0233
3674.00,0.0235
3673.00,0.0238
3672.00,0.0239
3671.00,0.0237
3670.00,0.0235
3669.00,0.0236
3668.00,0.0238
3667.00,0.0239
3666.00,0.0238
3665.00,0.0236
3664.00,0.0234
3663.00,0.0234
3662.00,0.0234
3661.00,0.0234
3660.00,0.0235
3659.00,0.0237
3658.00,0.0240
3657.00,0.0241
3656.00,0.0243
3655.00,0.0245
3654.00,0.0249
3653.00,0.0253
3652.00,0.0254
3651.00,0.0251
3650.00,0.0253
3649.00,0.0261
3648.00,0.0269
3647.00,0.0270
3646.00,0.0268
3645.00,0.0265
3644.00,0.0262
3643.00,0.0260
3642.00,0.0258
3641.00,0.0258
3640.00,0.0258
