Created as New Dataset,
cm-1,A
4000.00,0.0124
3999.00,0.0124
3998.00,0.0124
3997.00,0.0125
3996.00,0.0125
3995.00,0.0126
3994.00,0.0126
3993.00,0.0126
3992.00,0.0126
3991.00,0.0126
3990.00,0.0125
3989.00,0.0124
3988.00,0.0124
3987.00,0.0124
3986.00,0.0124
3985.00,0.0124
3984.00,0.0125
3983.00,0.0125
3982.00,0.0125
3981.00,0.0125
3980.00,0.0125
3979.00,0.0125
3978.00,0.0125
3977.00,0.0125
3976.00,0.0125
3975.00,0.0125
3974.00,0.0125
3973.00,0.0125
3972.00,0.0125
3971.00,0.0125
3970.00,0.0125
3969.00,0.0124
3968.00,0.0123
3967.00,0.0123
3966.00,0.0123
3965.00,0.0123
3964.00,0.0124
3963.00,0.0124
3962.00,0.0124
3961.00,0.0125
3960.00,0.0125
3959.00,0.0126
3958.00,0.0126
3957.00,0.0126
3956.00,0.0126
3955.00,0.0125
3954.00,0.0125
3953.00,0.0125
3952.00,0.0126
3951.00,0.0126
3950.00,0.0127
3949.00,0.0127
3948.00,0.0127
3947.00,0.0128
3946.00,0.0128
3945.00,0.0129
3944.00,0.0129
3943.00,0.0128
3942.00,0.0128
3941.00,0.0128
3940.00,0.0127
3939.00,0.0127
3938.00,0.0126
3937.00,0.0125
3936.00,0.0126
3935.00,0.0127
3934.00,0.0128
3933.00,0.0128
3932.00,0.0128
3931.00,0.0128
3930.00,0.0128
3929.00,0.0128
3928.00,0.0128
3927.00,0.0128
3926.00,0.0128
3925.00,0.0127
3924.00,0.0127
3923.00,0.0127
3922.00,0.0128
3921.00,0.0128
3920.00,0.0128
3919.00,0.0128
3918.00,0.0128
3917.00,0.0128
3916.00,0.0128
3915.00,0.0128
3914.00,0.0127
3913.00,0.0127
3912.00,0.0126
3911.00,0.0125
3910.00,0.0124
3909.00,0.0124
3908.00,0.0125
3907.00,0.0127
3906.00,0.0127
3905.00,0.0128
3904.00,0.0129
3903.00,0.0131
3902.00,0.0134
3901.00,0.0136
3900.00,0.0135
3899.00,0.0133
3898.00,0.0131
3897.00,0.0129
3896.00,0.0128
3895.00,0.0128
3894.00,0.0128
3893.00,0.0127
3892.00,0.0127
3891.00,0.0125
3890.00,0.0125
3889.00,0.0127
3888.00,0.0130
3887.00,0.0131
3886.00,0.0129
3885.00,0.0127
3884.00,0.0130
3883.00,0.0134
3882.00,0.0136
3881.00,0.0133
3880.00,0.0130
3879.00,0.0128
3878.00,0.0128
3877.00,0.0130
3876.00,0.0131
3875.00,0.0128
3874.00,0.0126
3873.00,0.0127
3872.00,0.0130
3871.00,0.0131
3870.00,0.0129
3869.00,0.0127
3868.00,0.0129
3867.00,0.0132
3866.00,0.0132
3865.00,0.0130
3864.00,0.0128
3863.00,0.0128
3862.00,0.0129
3861.00,0.0128
3860.00,0.0127
3859.00,0.0125
3858.00,0.0125
3857.00,0.0126
3856.00,0.0127
3855.00,0.0127
3854.00,0.0126
3853.00,0.0126
3852.00,0.0128
3851.00,0.0130
3850.00,0.0130
3849.00,0.0128
3848.00,0.0126
3847.00,0.0125
3846.00,0.0124
3845.00,0.0124
3844.00,0.0123
3843.00,0.0123
3842.00,0.0123
3841.00,0.0125
3840.00,0.0126
3839.00,0.0127
3838.00,0.0128
3837.00,0.0129
3836.00,0.0129
