Created as New Dataset,
cm-1,A
3682.00,0.0265
3681.00,0.0264
3680.00,0.0263
3679.00,0.0264
3678.00,0.0268
3677.00,0.0272
3676.00,0.0273
3675.00,0.0272
3674.00,0.0272
3673.00,0.0275
3672.00,0.0277
3671.00,0.0275
3670.00,0.0272
3669.00,0.0271
3668.00,0.0273
3667.00,0.0273
3666.00,0.0272
3665.00,0.0270
3664.00,0.0268
3663.00,0.0267
3662.00,0.0266
3661.00,0.0266
3660.00,0.0267
3659.00,0.0269
3658.00,0.0271
3657.00,0.0272
3656.00,0.0272
3655.00,0.0274
3654.00,0.0278
3653.00,0.0282
3652.00,0.0282
3651.00,0.0280
3650.00,0.0282
3649.00,0.0289
3648.00,0.0294
3647.00,0.0293
3646.00,0.0290
3645.00,0.0286
3644.00,0.0284
3643.00,0.0281
3642.00,0.0279
3641.00,0.0278
3640.00,0.0278
3639.00,0.0278
3638.00,0.0278
3637.00,0.0278
3636.00,0.0279
3635.00,0.0279
3634.00,0.0278
3633.00,0.0279
3632.00,0.0282
3631.00,0.0286
3630.00,0.0289
3629.00,0.0290
3628.00,0.0290
3627.00,0.0291
3626.00,0.0292
3625.00,0.0291
3624.00,0.0290
3623.00,0.0290
3622.00,0.0292
3621.00,0.0295
3620.00,0.0298
3619.00,0.0299
3618.00,0.0300
3617.00,0.0301
3616.00,0.0301
3615.00,0.0300
3614.00,0.0299
3613.00,0.0297
3612.00,0.0297
3611.00,0.0298
3610.00,0.0298
3609.00,0.0298
3608.00,0.0298
3607.00,0.0298
3606.00,0.0298
3605.00,0.0297
3604.00,0.0296
3603.00,0.0295
3602.00,0.0295
3601.00,0.0295
3600.00,0.0296
3599.00,0.0297
3598.00,0.0298
3597.00,0.0299
3596.00,0.0301
3595.00,0.0302
3594.00,0.0303
3593.00,0.0302
3592.00,0.0302
3591.00,0.0303
3590.00,0.0304
3589.00,0.0306
3588.00,0.0309
3587.00,0.0311
3586.00,0.0312
3585.00,0.0311
3584.00,0.0310
3583.00,0.0308
3582.00,0.0306
3581.00,0.0305
3580.00,0.0305
3579.00,0.0305
3578.00,0.0305
3577.00,0.0305
3576.00,0.0305
3575.00,0.0305
3574.00,0.0305
3573.00,0.0305
3572.00,0.0306
3571.00,0.0307
3570.00,0.0309
3569.00,0.0312
3568.00,0.0316
3567.00,0.0320
3566.00,0.0323
3565.00,0.0324
3564.00,0.0322
3563.00,0.0320
3562.00,0.0317
3561.00,0.0316
3560.00,0.0315
3559.00,0.0314
3558.00,0.0313
3557.00,0.0313
3556.00,0.0313
3555.00,0.0313
3554.00,0.0314
3553.00,0.0315
3552.00,0.0316
3551.00,0.0317
3550.00,0.0317
3549.00,0.0318
3548.00,0.0320
3547.00,0.0321
3546.00,0.0323
3545.00,0.0324
3544.00,0.0324
3543.00,0.0323
3542.00,0.0322
3541.00,0.0320
3540.00,0.0320
3539.00,0.0320
3538.00,0.0321
3537.00,0.0322
3536.00,0.0322
3535.00,0.0323
3534.00,0.0323
3533.00,0.0322
3532.00,0.0322
3531.00,0.0322
3530.00,0.0322
3529.00,0.0323
3528.00,0.0325
3527.00,0.0326
3526.00,0.0328
3525.00,0.0329
3524.00,0.0330
3523.00,0.0330
3522.00,0.0330
3521.00,0.0329
3520.00,0.0329
3519.00,0.0328
3518.00,0.0328
3517.00,0.0328
3516.00,0.0328
3515.00,0.0329
3514.00,0.0329
3513.00,0.0329
3512.00,0.0330
3511.00,0.0331
3510.00,0.0332
3509.00,0.0333
3508.00,0.0333
3507.00,0.0333
3506.00,0.0334
3505.00,0.0334
3504.00,0.0335
3503.00,0.0337
3502.00,0.0337
3501.00,0.0338
3500.00,0.0337
3499.00,0.0336
3498.00,0.0336
3497.00,0.0335
3496.00,0.0335
3495.00,0.0335
3494.00,0.0336
3493.00,0.0336
3492.00,0.0336
3491.00,0.0335
3490.00,0.0335
3489.00,0.0335
3488.00,0.0335
3487.00,0.0336
3486.00,0.0337
3485.00,0.0338
3484.00,0.0339
3483.00,0.0339
3482.00,0.0340
3481.00,0.0340
3480.00,0.0341
3479.00,0.0341
3478.00,0.0342
3477.00,0.0342
3476.00,0.0342
3475.00,0.0342
3474.00,0.0342
3473.00,0.0342
3472.00,0.0343
3471.00,0.0343
3470.00,0.0343
3469.00,0.0344
3468.00,0.0344
3467.00,0.0344
3466.00,0.0345
3465.00,0.0345
3464.00,0.0345
3463.00,0.0346
3462.00,0.0346
3461.00,0.0346
3460.00,0.0346
3459.00,0.0346
3458.00,0.0346
3457.00,0.0346
3456.00,0.0347
3455.00,0.0348
3454.00,0.0348
3453.00,0.0348
3452.00,0.0348
3451.00,0.0349
3450.00,0.0349
3449.00,0.0350
3448.00,0.0350
3447.00,0.0351
3446.00,0.0352
3445.00,0.0352
3444.00,0.0352
3443.00,0.0352
3442.00,0.0352
3441.00,0.0352
3440.00,0.0351
3439.00,0.0351
3438.00,0.0351
3437.00,0.0351
3436.00,0.0352
3435.00,0.0352
3434.00,0.0352
3433.00,0.0353
3432.00,0.0353
3431.00,0.0353
3430.00,0.0353
3429.00,0.0353
3428.00,0.0353
3427.00,0.0353
3426.00,0.0354
3425.00,0.0354
3424.00,0.0355
3423.00,0.0356
3422.00,0.0356
3421.00,0.0356
3420.00,0.0357
3419.00,0.0357
3418.00,0.0357
3417.00,0.0357
3416.00,0.0357
3415.00,0.0357
3414.00,0.0358
3413.00,0.0358
3412.00,0.0358
3411.00,0.0358
3410.00,0.0358
3409.00,0.0358
3408.00,0.0358
3407.00,0.0359
3406.00,0.0359
3405.00,0.0360
3404.00,0.0360
3403.00,0.0361
3402.00,0.0361
3401.00,0.0361
3400.00,0.0361
3399.00,0.0361
3398.00,0.0361
3397.00,0.0361
3396.00,0.0361
3395.00,0.0361
3394.00,0.0362
3393.00,0.0363
3392.00,0.0363
3391.00,0.0364
3390.00,0.0363
3389.00,0.0363
3388.00,0.0363
3387.00,0.0363
3386.00,0.0363
3385.00,0.0364
3384.00,0.0364
3383.00,0.0364
3382.00,0.0363
3381.00,0.0363
3380.00,0.0363
3379.00,0.0363
3378.00,0.0363
3377.00,0.0364
3376.00,0.0364
3375.00,0.0364
3374.00,0.0364
3373.00,0.0365
3372.00,0.0365
3371.00,0.0365
3370.00,0.0365
3369.00,0.0365
