Created as New Dataset,
cm-1,A
4000.00,0.0081
3999.00,0.0081
3998.00,0.0081
3997.00,0.0081
3996.00,0.0081
3995.00,0.0081
3994.00,0.0082
3993.00,0.0082
3992.00,0.0082
3991.00,0.0082
3990.00,0.0081
3989.00,0.0081
3988.00,0.0081
3987.00,0.0080
3986.00,0.0081
3985.00,0.0081
3984.00,0.0081
3983.00,0.0081
3982.00,0.0081
3981.00,0.0082
3980.00,0.0082
3979.00,0.0082
3978.00,0.0083
3977.00,0.0083
3976.00,0.0083
3975.00,0.0083
3974.00,0.0083
3973.00,0.0083
3972.00,0.0083
3971.00,0.0082
3970.00,0.0082
3969.00,0.0081
3968.00,0.0081
3967.00,0.0080
3966.00,0.0080
3965.00,0.0081
3964.00,0.0081
3963.00,0.0082
3962.00,0.0082
3961.00,0.0083
3960.00,0.0083
3959.00,0.0083
3958.00,0.0082
3957.00,0.0082
3956.00,0.0082
3955.00,0.0082
3954.00,0.0082
3953.00,0.0083
3952.00,0.0083
3951.00,0.0084
3950.00,0.0084
3949.00,0.0085
3948.00,0.0085
3947.00,0.0085
3946.00,0.0086
3945.00,0.0086
3944.00,0.0086
3943.00,0.0085
3942.00,0.0085
3941.00,0.0085
3940.00,0.0084
3939.00,0.0084
3938.00,0.0083
3937.00,0.0083
3936.00,0.0083
3935.00,0.0084
3934.00,0.0085
3933.00,0.0085
3932.00,0.0086
3931.00,0.0086
3930.00,0.0086
3929.00,0.0087
3928.00,0.0087
3927.00,0.0087
3926.00,0.0086
3925.00,0.0085
3924.00,0.0085
3923.00,0.0085
3922.00,0.0086
3921.00,0.0086
3920.00,0.0085
3919.00,0.0085
3918.00,0.0085
3917.00,0.0085
3916.00,0.0085
3915.00,0.0084
3914.00,0.0083
3913.00,0.0082
3912.00,0.0081
3911.00,0.0080
3910.00,0.0081
3909.00,0.0082
3908.00,0.0084
3907.00,0.0086
3906.00,0.0088
3905.00,0.0089
3904.00,0.0090
3903.00,0.0093
3902.00,0.0095
3901.00,0.0096
3900.00,0.0095
3899.00,0.0092
3898.00,0.0090
3897.00,0.0088
3896.00,0.0087
3895.00,0.0087
3894.00,0.0087
3893.00,0.0086
3892.00,0.0085
3891.00,0.0084
3890.00,0.0085
3889.00,0.0087
3888.00,0.0090
3887.00,0.0090
3886.00,0.0088
3885.00,0.0088
3884.00,0.0091
3883.00,0.0094
3882.00,0.0094
3881.00,0.0091
3880.00,0.0087
3879.00,0.0086
3878.00,0.0088
3877.00,0.0090
3876.00,0.0090
3875.00,0.0087
3874.00,0.0087
3873.00,0.0089
3872.00,0.0092
3871.00,0.0092
3870.00,0.0089
3869.00,0.0089
3868.00,0.0091
3867.00,0.0093
3866.00,0.0092
3865.00,0.0090
3864.00,0.0088
3863.00,0.0089
3862.00,0.0089
3861.00,0.0088
3860.00,0.0087
3859.00,0.0085
3858.00,0.0085
3857.00,0.0087
3856.00,0.0091
3855.00,0.0091
3854.00,0.0089
3853.00,0.0090
