Created as New Dataset,
cm-1,A
4000.00,0.0149
3999.00,0.0149
3998.00,0.0149
3997.00,0.0149
3996.00,0.0150
3995.00,0.0150
3994.00,0.0150
3993.00,0.0150
3992.00,0.0150
3991.00,0.0150
3990.00,0.0149
3989.00,0.0149
3988.00,0.0149
3987.00,0.0150
3986.00,0.0150
3985.00,0.0150
3984.00,0.0150
3983.00,0.0150
3982.00,0.0150
3981.00,0.0150
3980.00,0.0150
3979.00,0.0150
3978.00,0.0151
3977.00,0.0150
3976.00,0.0150
3975.00,0.0150
3974.00,0.0150
3973.00,0.0150
3972.00,0.0150
3971.00,0.0150
3970.00,0.0149
3969.00,0.0149
3968.00,0.0148
3967.00,0.0148
3966.00,0.0148
3965.00,0.0149
3964.00,0.0149
3963.00,0.0150
3962.00,0.0150
3961.00,0.0151
3960.00,0.0151
3959.00,0.0151
3958.00,0.0151
3957.00,0.0151
3956.00,0.0150
3955.00,0.0150
3954.00,0.0150
3953.00,0.0151
3952.00,0.0151
3951.00,0.0152
3950.00,0.0152
3949.00,0.0152
3948.00,0.0153
3947.00,0.0153
3946.00,0.0154
3945.00,0.0155
3944.00,0.0154
3943.00,0.0153
3942.00,0.0152
3941.00,0.0152
3940.00,0.0152
3939.00,0.0151
3938.00,0.0150
3937.00,0.0149
3936.00,0.0150
3935.00,0.0151
3934.00,0.0152
3933.00,0.0153
3932.00,0.0153
3931.00,0.0154
3930.00,0.0154
3929.00,0.0155
3928.00,0.0155
3927.00,0.0155
3926.00,0.0154
3925.00,0.0153
3924.00,0.0153
3923.00,0.0153
3922.00,0.0154
3921.00,0.0154
3920.00,0.0153
3919.00,0.0153
3918.00,0.0153
3917.00,0.0153
3916.00,0.0152
3915.00,0.0152
3914.00,0.0151
3913.00,0.0150
3912.00,0.0149
3911.00,0.0148
3910.00,0.0148
3909.00,0.0149
3908.00,0.0151
3907.00,0.0154
3906.00,0.0155
3905.00,0.0156
3904.00,0.0157
3903.00,0.0160
3902.00,0.0163
3901.00,0.0164
3900.00,0.0163
3899.00,0.0160
3898.00,0.0157
3897.00,0.0156
3896.00,0.0155
3895.00,0.0155
3894.00,0.0155
3893.00,0.0154
3892.00,0.0153
3891.00,0.0152
3890.00,0.0152
3889.00,0.0155
3888.00,0.0157
3887.00,0.0157
3886.00,0.0154
3885.00,0.0154
3884.00,0.0157
3883.00,0.0162
3882.00,0.0163
3881.00,0.0160
3880.00,0.0156
3879.00,0.0154
3878.00,0.0156
3877.00,0.0157
3876.00,0.0157
3875.00,0.0155
3874.00,0.0154
3873.00,0.0156
3872.00,0.0159
3871.00,0.0160
3870.00,0.0157
3869.00,0.0156
3868.00,0.0158
3867.00,0.0161
3866.00,0.0161
3865.00,0.0157
3864.00,0.0155
3863.00,0.0156
3862.00,0.0156
3861.00,0.0155
3860.00,0.0154
3859.00,0.0152
3858.00,0.0152
3857.00,0.0155
3856.00,0.0157
3855.00,0.0157
3854.00,0.0156
3853.00,0.0156
3852.00,0.0158
3851.00,0.0159
3850.00,0.0158
3849.00,0.0155
3848.00,0.0152
3847.00,0.0150
3846.00,0.0150
3845.00,0.0150
3844.00,0.0150
3843.00,0.0151
3842.00,0.0154
3841.00,0.0157
3840.00,0.0159
3839.00,0.0159
3838.00,0.0158
3837.00,0.0158
3836.00,0.0158
3835.00,0.0158
3834.00,0.0157
3833.00,0.0155
3832.00,0.0153
3831.00,0.0151
3830.00,0.0151
3829.00,0.0152
3828.00,0.0152
3827.00,0.0150
3826.00,0.0149
3825.00,0.0151
3824.00,0.0155
3823.00,0.0157
3822.00,0.0154
3821.00,0.0152
3820.00,0.0153
3819.00,0.0157
3818.00,0.0159
3817.00,0.0156
3816.00,0.0151
3815.00,0.0148
3814.00,0.0149
3813.00,0.0149
3812.00,0.0147
3811.00,0.0145
3810.00,0.0145
3809.00,0.0146
3808.00,0.0145
3807.00,0.0144
3806.00,0.0145
3805.00,0.0149
3804.00,0.0154
3803.00,0.0154
3802.00,0.0151
3801.00,0.0150
3800.00,0.0152
3799.00,0.0155
3798.00,0.0155
3797.00,0.0151
3796.00,0.0147
3795.00,0.0145
3794.00,0.0145
3793.00,0.0145
3792.00,0.0144
3791.00,0.0143
3790.00,0.0142
3789.00,0.0142
3788.00,0.0143
3787.00,0.0143
3786.00,0.0143
3785.00,0.0143
3784.00,0.0143
3783.00,0.0144
3782.00,0.0146
3781.00,0.0146
3780.00,0.0145
3779.00,0.0143
3778.00,0.0143
3777.00,0.0144
3776.00,0.0143
3775.00,0.0142
3774.00,0.0141
3773.00,0.0141
3772.00,0.0142
3771.00,0.0142
3770.00,0.0142
3769.00,0.0144
3768.00,0.0147
3767.00,0.0148
3766.00,0.0147
3765.00,0.0144
3764.00,0.0144
3763.00,0.0146
3762.00,0.0147
3761.00,0.0147
3760.00,0.0146
3759.00,0.0146
3758.00,0.0146
3757.00,0.0146
3756.00,0.0147
3755.00,0.0148
3754.00,0.0148
3753.00,0.0147
3752.00,0.0146
3751.00,0.0148
3750.00,0.0151
3749.00,0.0153
3748.00,0.0155
3747.00,0.0159
3746.00,0.0159
3745.00,0.0154
3744.00,0.0150
3743.00,0.0150
3742.00,0.0151
3741.00,0.0152
3740.00,0.0150
3739.00,0.0150
3738.00,0.0151
3737.00,0.0153
3736.00,0.0155
3735.00,0.0157
3734.00,0.0158
3733.00,0.0157
3732.00,0.0153
3731.00,0.0149
3730.00,0.0148
3729.00,0.0148
3728.00,0.0147
3727.00,0.0146
3726.00,0.0146
3725.00,0.0148
3724.00,0.0150
3723.00,0.0150
3722.00,0.0149
3721.00,0.0148
3720.00,0.0147
3719.00,0.0147
3718.00,0.0145
3717.00,0.0145
3716.00,0.0145
3715.00,0.0148
3714.00,0.0150
3713.00,0.0151
3712.00,0.0153
3711.00,0.0156
3710.00,0.0159
3709.00,0.0160
3708.00,0.0159
3707.00,0.0157
3706.00,0.0157
3705.00,0.0158
3704.00,0.0159
3703.00,0.0161
3702.00,0.0162
3701.00,0.0163
3700.00,0.0164
3699.00,0.0164
3698.00,0.0164
3697.00,0.0163
3696.00,0.0162
3695.00,0.0163
3694.00,0.0164
3693.00,0.0166
3692.00,0.0167
3691.00,0.0167
3690.00,0.0168
3689.00,0.0168
3688.00,0.0167
3687.00,0.0166
3686.00,0.0164
3685.00,0.0162
3684.00,0.0159
3683.00,0.0157
3682.00,0.0155
3681.00,0.0154
3680.00,0.0154
3679.00,0.0156
3678.00,0.0160
3677.00,0.0165
3676.00,0.0167
3675.00,0.0168
3674.00,0.0170
3673.00,0.0173
3672.00,0.0174
3671.00,0.0170
3670.00,0.0167
3669.00,0.0167
3668.00,0.0169
3667.00,0.0169
3666.00,0.0167
3665.00,0.0165
3664.00,0.0163
3663.00,0.0162
3662.00,0.0162
3661.00,0.0163
3660.00,0.0165
3659.00,0.0167
3658.00,0.0170
3657.00,0.0173
3656.00,0.0175
3655.00,0.0178
3654.00,0.0182
3653.00,0.0187
3652.00,0.0188
3651.00,0.0188
3650.00,0.0191
3649.00,0.0199
3648.00,0.0205
3647.00,0.0205
3646.00,0.0202
3645.00,0.0198
3644.00,0.0195
3643.00,0.0192
3642.00,0.0190
3641.00,0.0189
3640.00,0.0189
3639.00,0.0190
3638.00,0.0190
3637.00,0.0192
3636.00,0.0194
3635.00,0.0195
3634.00,0.0195
3633.00,0.0196
3632.00,0.0200
3631.00,0.0205
3630.00,0.0208
3629.00,0.0211
3628.00,0.0215
3627.00,0.0218
3626.00,0.0218
3625.00,0.0216
3624.00,0.0214
3623.00,0.0215
3622.00,0.0217
3621.00,0.0220
3620.00,0.0223
3619.00,0.0226
3618.00,0.0228
3617.00,0.0228
3616.00,0.0227
3615.00,0.0225
3614.00,0.0222
3613.00,0.0220
3612.00,0.0220
3611.00,0.0222
3610.00,0.0224
3609.00,0.0224
3608.00,0.0224
3607.00,0.0225
3606.00,0.0225
3605.00,0.0224
3604.00,0.0223
3603.00,0.0223
3602.00,0.0223
3601.00,0.0223
3600.00,0.0224
3599.00,0.0225
3598.00,0.0226
3597.00,0.0227
3596.00,0.0228
3595.00,0.0229
3594.00,0.0230
3593.00,0.0229
3592.00,0.0229
3591.00,0.0230
3590.00,0.0232
3589.00,0.0234
3588.00,0.0237
3587.00,0.0240
3586.00,0.0242
3585.00,0.0241
3584.00,0.0239
3583.00,0.0237
3582.00,0.0235
3581.00,0.0234
3580.00,0.0234
3579.00,0.0235
3578.00,0.0235
3577.00,0.0235
3576.00,0.0235
3575.00,0.0235
3574.00,0.0235
3573.00,0.0236
3572.00,0.0237
3571.00,0.0238
3570.00,0.0241
3569.00,0.0245
3568.00,0.0249
3567.00,0.0254
3566.00,0.0257
3565.00,0.0258
3564.00,0.0256
3563.00,0.0253
3562.00,0.0250
3561.00,0.0248
3560.00,0.0247
3559.00,0.0247
3558.00,0.0247
3557.00,0.0247
3556.00,0.0247
3555.00,0.0247
3554.00,0.0248
3553.00,0.0249
3552.00,0.0251
3551.00,0.0252
3550.00,0.0253
3549.00,0.0254
3548.00,0.0255
3547.00,0.0257
3546.00,0.0260
3545.00,0.0261
3544.00,0.0262
3543.00,0.0260
3542.00,0.0259
3541.00,0.0257
3540.00,0.0257
3539.00,0.0257
3538.00,0.0258
3537.00,0.0259
3536.00,0.0259
3535.00,0.0259
3534.00,0.0259
3533.00,0.0259
3532.00,0.0259
3531.00,0.0260
3530.00,0.0261
3529.00,0.0263
3528.00,0.0265
3527.00,0.0267
3526.00,0.0268
3525.00,0.0269
3524.00,0.0270
3523.00,0.0270
3522.00,0.0270
3521.00,0.0270
3520.00,0.0269
3519.00,0.0269
3518.00,0.0268
3517.00,0.0269
3516.00,0.0269
3515.00,0.0270
3514.00,0.0270
3513.00,0.0271
3512.00,0.0272
3511.00,0.0273
3510.00,0.0275
3509.00,0.0276
3508.00,0.0276
3507.00,0.0277
3506.00,0.0277
3505.00,0.0278
3504.00,0.0278
3503.00,0.0279
3502.00,0.0280
3501.00,0.0280
3500.00,0.0280
3499.00,0.0280
3498.00,0.0280
3497.00,0.0280
3496.00,0.0280
3495.00,0.0281
3494.00,0.0281
3493.00,0.0282
3492.00,0.0282
3491.00,0.0282
3490.00,0.0282
3489.00,0.0283
3488.00,0.0283
3487.00,0.0284
3486.00,0.0285
3485.00,0.0286
3484.00,0.0287
3483.00,0.0287
3482.00,0.0288
3481.00,0.0289
3480.00,0.0290
3479.00,0.0290
3478.00,0.0291
3477.00,0.0291
3476.00,0.0291
3475.00,0.0291
3474.00,0.0292
3473.00,0.0292
3472.00,0.0293
3471.00,0.0293
3470.00,0.0294
3469.00,0.0294
3468.00,0.0295
3467.00,0.0295
3466.00,0.0296
3465.00,0.0296
3464.00,0.0297
3463.00,0.0298
3462.00,0.0298
3461.00,0.0298
3460.00,0.0299
3459.00,0.0299
3458.00,0.0299
3457.00,0.0299
3456.00,0.0299
3455.00,0.0300
3454.00,0.0301
3453.00,0.0301
3452.00,0.0302
3451.00,0.0302
3450.00,0.0303
3449.00,0.0303
3448.00,0.0304
3447.00,0.0304
3446.00,0.0305
3445.00,0.0306
3444.00,0.0306
3443.00,0.0306
3442.00,0.0306
3441.00,0.0307
3440.00,0.0307
3439.00,0.0307
3438.00,0.0307
3437.00,0.0307
3436.00,0.0307
3435.00,0.0308
3434.00,0.0308
3433.00,0.0309
3432.00,0.0309
3431.00,0.0310
3430.00,0.0310
3429.00,0.0311
3428.00,0.0311
3427.00,0.0311
3426.00,0.0312
3425.00,0.0312
3424.00,0.0313
3423.00,0.0313
3422.00,0.0313
3421.00,0.0314
3420.00,0.0315
3419.00,0.0316
3418.00,0.0316
3417.00,0.0316
3416.00,0.0315
3415.00,0.0315
3414.00,0.0315
3413.00,0.0316
3412.00,0.0317
3411.00,0.0317
3410.00,0.0317
3409.00,0.0317
3408.00,0.0318
3407.00,0.0318
3406.00,0.0319
3405.00,0.0320
3404.00,0.0321
3403.00,0.0321
3402.00,0.0322
3401.00,0.0322
3400.00,0.0322
3399.00,0.0321
3398.00,0.0321
3397.00,0.0322
3396.00,0.0322
3395.00,0.0322
3394.00,0.0323
3393.00,0.0323
3392.00,0.0324
3391.00,0.0324
3390.00,0.0324
3389.00,0.0323
3388.00,0.0323
3387.00,0.0323
3386.00,0.0324
3385.00,0.0325
3384.00,0.0326
3383.00,0.0326
3382.00,0.0325
3381.00,0.0325
3380.00,0.0325
3379.00,0.0326
3378.00,0.0326
3377.00,0.0327
3376.00,0.0327
3375.00,0.0327
3374.00,0.0328
3373.00,0.0328
3372.00,0.0329
3371.00,0.0329
3370.00,0.0329
3369.00,0.0329
3368.00,0.0329
3367.00,0.0330
3366.00,0.0330
3365.00,0.0331
3364.00,0.0332
3363.00,0.0332
3362.00,0.0332
3361.00,0.0332
3360.00,0.0332
3359.00,0.0332
3358.00,0.0332
3357.00,0.0333
3356.00,0.0333
3355.00,0.0333
3354.00,0.0333
3353.00,0.0332
3352.00,0.0332
3351.00,0.0332
3350.00,0.0332
3349.00,0.0332
3348.00,0.0332
3347.00,0.0333
3346.00,0.0333
3345.00,0.0333
3344.00,0.0334
3343.00,0.0334
3342.00,0.0333
3341.00,0.0333
3340.00,0.0333
3339.00,0.0334
3338.00,0.0334
3337.00,0.0335
3336.00,0.0335
3335.00,0.0336
3334.00,0.0336
3333.00,0.0336
3332.00,0.0336
3331.00,0.0336
3330.00,0.0336
3329.00,0.0336
3328.00,0.0336
3327.00,0.0336
3326.00,0.0337
3325.00,0.0337
3324.00,0.0338
3323.00,0.0338
3322.00,0.0338
3321.00,0.0337
3320.00,0.0337
3319.00,0.0336
3318.00,0.0336
3317.00,0.0336
3316.00,0.0337
3315.00,0.0337
3314.00,0.0337
3313.00,0.0337
3312.00,0.0338
3311.00,0.0338
3310.00,0.0339
3309.00,0.0339
3308.00,0.0339
3307.00,0.0339
3306.00,0.0339
3305.00,0.0340
3304.00,0.0340
3303.00,0.0341
3302.00,0.0340
3301.00,0.0340
3300.00,0.0339
3299.00,0.0339
3298.00,0.0339
3297.00,0.0339
3296.00,0.0339
3295.00,0.0340
3294.00,0.0339
3293.00,0.0339
3292.00,0.0339
3291.00,0.0340
3290.00,0.0340
3289.00,0.0340
3288.00,0.0340
3287.00,0.0340
3286.00,0.0341
3285.00,0.0341
3284.00,0.0341
3283.00,0.0341
3282.00,0.0341
3281.00,0.0341
3280.00,0.0341
3279.00,0.0342
3278.00,0.0341
3277.00,0.0341
3276.00,0.0341
3275.00,0.0341
3274.00,0.0342
3273.00,0.0343
3272.00,0.0343
3271.00,0.0343
3270.00,0.0343
3269.00,0.0342
3268.00,0.0342
3267.00,0.0342
3266.00,0.0342
3265.00,0.0342
3264.00,0.0342
3263.00,0.0343
3262.00,0.0343
3261.00,0.0343
3260.00,0.0343
3259.00,0.0344
3258.00,0.0344
3257.00,0.0344
3256.00,0.0344
3255.00,0.0344
3254.00,0.0344
3253.00,0.0343
3252.00,0.0343
3251.00,0.0343
3250.00,0.0343
3249.00,0.0343
3248.00,0.0343
3247.00,0.0344
3246.00,0.0345
3245.00,0.0345
3244.00,0.0345
3243.00,0.0345
3242.00,0.0345
3241.00,0.0345
3240.00,0.0345
3239.00,0.0345
3238.00,0.0345
3237.00,0.0345
3236.00,0.0345
3235.00,0.0345
3234.00,0.0346
3233.00,0.0346
3232.00,0.0346
3231.00,0.0347
3230.00,0.0347
3229.00,0.0346
3228.00,0.0346
3227.00,0.0346
3226.00,0.0346
3225.00,0.0346
3224.00,0.0346
3223.00,0.0346
3222.00,0.0346
3221.00,0.0346
3220.00,0.0346
3219.00,0.0346
3218.00,0.0346
3217.00,0.0345
3216.00,0.0345
3215.00,0.0345
3214.00,0.0346
3213.00,0.0346
3212.00,0.0347
3211.00,0.0347
3210.00,0.0347
3209.00,0.0346
3208.00,0.0346
3207.00,0.0346
3206.00,0.0346
3205.00,0.0346
3204.00,0.0346
3203.00,0.0346
3202.00,0.0346
3201.00,0.0346
3200.00,0.0347
3199.00,0.0346
3198.00,0.0346
3197.00,0.0346
3196.00,0.0346
3195.00,0.0346
3194.00,0.0346
3193.00,0.0346
3192.00,0.0346
3191.00,0.0346
3190.00,0.0346
3189.00,0.0346
3188.00,0.0346
3187.00,0.0346
3186.00,0.0346
3185.00,0.0346
3184.00,0.0346
3183.00,0.0346
3182.00,0.0346
3181.00,0.0345
3180.00,0.0345
3179.00,0.0344
3178.00,0.0344
3177.00,0.0344
3176.00,0.0344
3175.00,0.0344
3174.00,0.0344
3173.00,0.0344
3172.00,0.0344
3171.00,0.0344
3170.00,0.0344
3169.00,0.0344
3168.00,0.0343
3167.00,0.0343
3166.00,0.0343
3165.00,0.0343
3164.00,0.0343
3163.00,0.0343
3162.00,0.0343
3161.00,0.0343
3160.00,0.0343
3159.00,0.0343
3158.00,0.0343
3157.00,0.0342
3156.00,0.0342
3155.00,0.0341
3154.00,0.0341
3153.00,0.0341
3152.00,0.0341
3151.00,0.0341
3150.00,0.0341
3149.00,0.0341
3148.00,0.0341
3147.00,0.0341
3146.00,0.0341
3145.00,0.0341
3144.00,0.0341
3143.00,0.0341
3142.00,0.0341
3141.00,0.0341
3140.00,0.0341
3139.00,0.0341
3138.00,0.0341
3137.00,0.0340
3136.00,0.0340
3135.00,0.0340
3134.00,0.0339
3133.00,0.0339
3132.00,0.0339
3131.00,0.0339
3130.00,0.0339
3129.00,0.0339
3128.00,0.0339
3127.00,0.0339
3126.00,0.0339
3125.00,0.0338
3124.00,0.0338
3123.00,0.0338
3122.00,0.0338
3121.00,0.0338
3120.00,0.0338
3119.00,0.0338
3118.00,0.0338
3117.00,0.0338
3116.00,0.0338
3115.00,0.0338
3114.00,0.0339
3113.00,0.0339
3112.00,0.0338
3111.00,0.0338
3110.00,0.0337
3109.00,0.0337
3108.00,0.0337
3107.00,0.0337
3106.00,0.0337
3105.00,0.0337
3104.00,0.0337
3103.00,0.0337
3102.00,0.0336
3101.00,0.0336
3100.00,0.0336
3099.00,0.0337
3098.00,0.0337
3097.00,0.0337
3096.00,0.0336
3095.00,0.0336
3094.00,0.0336
3093.00,0.0336
3092.00,0.0335
3091.00,0.0335
3090.00,0.0335
3089.00,0.0335
3088.00,0.0335
3087.00,0.0335
3086.00,0.0335
3085.00,0.0335
3084.00,0.0335
3083.00,0.0335
3082.00,0.0335
3081.00,0.0335
3080.00,0.0335
3079.00,0.0335
3078.00,0.0335
3077.00,0.0335
3076.00,0.0335
3075.00,0.0334
3074.00,0.0334
3073.00,0.0334
3072.00,0.0333
3071.00,0.0333
3070.00,0.0333
3069.00,0.0333
3068.00,0.0333
3067.00,0.0333
3066.00,0.0333
3065.00,0.0333
3064.00,0.0334
3063.00,0.0334
3062.00,0.0333
3061.00,0.0333
3060.00,0.0332
3059.00,0.0332
3058.00,0.0332
