Created as New Dataset,
cm-1,A
4000.00,0.0102
3999.00,0.0102
3998.00,0.0102
3997.00,0.0102
3996.00,0.0102
3995.00,0.0102
3994.00,0.0103
3993.00,0.0103
3992.00,0.0102
3991.00,0.0102
3990.00,0.0101
3989.00,0.0101
3988.00,0.0101
3987.00,0.0101
3986.00,0.0101
3985.00,0.0101
3984.00,0.0101
3983.00,0.0102
3982.00,0.0102
3981.00,0.0102
3980.00,0.0102
3979.00,0.0102
3978.00,0.0102
3977.00,0.0102
3976.00,0.0102
3975.00,0.0102
3974.00,0.0102
3973.00,0.0102
3972.00,0.0102
3971.00,0.0101
3970.00,0.0101
3969.00,0.0101
3968.00,0.0100
3967.00,0.0100
3966.00,0.0100
3965.00,0.0100
3964.00,0.0101
3963.00,0.0101
3962.00,0.0102
3961.00,0.0102
3960.00,0.0102
3959.00,0.0103
3958.00,0.0102
3957.00,0.0102
3956.00,0.0101
3955.00,0.0101
3954.00,0.0101
3953.00,0.0101
3952.00,0.0101
3951.00,0.0102
3950.00,0.0102
3949.00,0.0103
3948.00,0.0103
3947.00,0.0103
3946.00,0.0104
3945.00,0.0104
3944.00,0.0104
3943.00,0.0103
3942.00,0.0103
3941.00,0.0102
3940.00,0.0102
3939.00,0.0102
3938.00,0.0101
3937.00,0.0100
3936.00,0.0100
3935.00,0.0101
3934.00,0.0102
3933.00,0.0102
3932.00,0.0102
3931.00,0.0103
3930.00,0.0103
3929.00,0.0103
3928.00,0.0102
3927.00,0.0103
3926.00,0.0102
3925.00,0.0102
3924.00,0.0102
3923.00,0.0103
3922.00,0.0103
3921.00,0.0103
3920.00,0.0103
3919.00,0.0103
3918.00,0.0103
3917.00,0.0103
3916.00,0.0102
3915.00,0.0101
3914.00,0.0101
3913.00,0.0101
3912.00,0.0100
3911.00,0.0099
3910.00,0.0099
3909.00,0.0099
3908.00,0.0100
3907.00,0.0101
3906.00,0.0103
3905.00,0.0104
3904.00,0.0104
3903.00,0.0106
3902.00,0.0108
3901.00,0.0110
3900.00,0.0109
3899.00,0.0107
3898.00,0.0104
3897.00,0.0103
3896.00,0.0102
3895.00,0.0102
3894.00,0.0103
3893.00,0.0103
3892.00,0.0103
3891.00,0.0101
3890.00,0.0101
3889.00,0.0103
3888.00,0.0106
3887.00,0.0106
3886.00,0.0103
3885.00,0.0101
3884.00,0.0103
3883.00,0.0107
3882.00,0.0109
3881.00,0.0107
3880.00,0.0104
3879.00,0.0101
3878.00,0.0102
3877.00,0.0104
3876.00,0.0104
3875.00,0.0102
3874.00,0.0101
3873.00,0.0102
3872.00,0.0105
3871.00,0.0106
3870.00,0.0104
3869.00,0.0102
3868.00,0.0103
3867.00,0.0106
3866.00,0.0106
3865.00,0.0105
3864.00,0.0104
3863.00,0.0105
3862.00,0.0105
3861.00,0.0104
3860.00,0.0102
3859.00,0.0100
3858.00,0.0099
3857.00,0.0099
3856.00,0.0101
3855.00,0.0101
3854.00,0.0099
3853.00,0.0099
3852.00,0.0100
3851.00,0.0102
3850.00,0.0103
3849.00,0.0103
3848.00,0.0101
3847.00,0.0100
3846.00,0.0099
3845.00,0.0099
3844.00,0.0098
3843.00,0.0098
3842.00,0.0099
3841.00,0.0101
3840.00,0.0103
3839.00,0.0103
3838.00,0.0103
3837.00,0.0103
3836.00,0.0103
3835.00,0.0104
3834.00,0.0104
3833.00,0.0103
3832.00,0.0102
3831.00,0.0100
3830.00,0.0100
3829.00,0.0101
3828.00,0.0101
3827.00,0.0100
3826.00,0.0098
3825.00,0.0099
3824.00,0.0101
3823.00,0.0103
3822.00,0.0102
3821.00,0.0099
3820.00,0.0098
3819.00,0.0100
3818.00,0.0103
3817.00,0.0102
3816.00,0.0098
3815.00,0.0096
3814.00,0.0097
3813.00,0.0099
3812.00,0.0098
3811.00,0.0096
3810.00,0.0095
3809.00,0.0096
3808.00,0.0095
3807.00,0.0093
3806.00,0.0093
3805.00,0.0095
3804.00,0.0099
3803.00,0.0101
3802.00,0.0099
3801.00,0.0096
3800.00,0.0097
3799.00,0.0101
3798.00,0.0103
3797.00,0.0102
3796.00,0.0099
3795.00,0.0098
3794.00,0.0098
3793.00,0.0098
3792.00,0.0097
3791.00,0.0095
3790.00,0.0094
3789.00,0.0094
3788.00,0.0095
3787.00,0.0095
3786.00,0.0096
3785.00,0.0096
3784.00,0.0096
3783.00,0.0096
3782.00,0.0097
3781.00,0.0098
3780.00,0.0097
3779.00,0.0096
3778.00,0.0096
3777.00,0.0097
3776.00,0.0097
3775.00,0.0096
3774.00,0.0094
3773.00,0.0094
3772.00,0.0094
3771.00,0.0094
3770.00,0.0094
3769.00,0.0095
3768.00,0.0097
3767.00,0.0099
3766.00,0.0099
3765.00,0.0097
3764.00,0.0096
3763.00,0.0097
3762.00,0.0099
3761.00,0.0099
3760.00,0.0098
3759.00,0.0098
3758.00,0.0098
3757.00,0.0097
3756.00,0.0097
3755.00,0.0097
3754.00,0.0097
3753.00,0.0096
3752.00,0.0096
3751.00,0.0098
3750.00,0.0100
3749.00,0.0100
3748.00,0.0101
3747.00,0.0104
3746.00,0.0105
3745.00,0.0101
3744.00,0.0097
3743.00,0.0096
3742.00,0.0099
3741.00,0.0101
3740.00,0.0100
3739.00,0.0100
3738.00,0.0100
3737.00,0.0101
3736.00,0.0102
3735.00,0.0104
3734.00,0.0106
3733.00,0.0105
3732.00,0.0102
3731.00,0.0099
3730.00,0.0098
3729.00,0.0099
3728.00,0.0099
3727.00,0.0098
3726.00,0.0098
3725.00,0.0099
3724.00,0.0100
3723.00,0.0101
3722.00,0.0100
3721.00,0.0099
3720.00,0.0099
3719.00,0.0099
3718.00,0.0098
3717.00,0.0097
3716.00,0.0097
3715.00,0.0098
3714.00,0.0098
3713.00,0.0099
3712.00,0.0100
3711.00,0.0103
3710.00,0.0105
3709.00,0.0106
3708.00,0.0105
3707.00,0.0103
3706.00,0.0103
3705.00,0.0103
3704.00,0.0104
3703.00,0.0105
3702.00,0.0105
3701.00,0.0106
3700.00,0.0106
3699.00,0.0108
3698.00,0.0108
3697.00,0.0108
3696.00,0.0107
3695.00,0.0107
3694.00,0.0107
3693.00,0.0107
3692.00,0.0108
3691.00,0.0109
3690.00,0.0110
