Created as New Dataset,
cm-1,A
4000.00,0.0485
3999.00,0.0484
3998.00,0.0484
3997.00,0.0484
3996.00,0.0484
3995.00,0.0484
3994.00,0.0484
3993.00,0.0485
3992.00,0.0485
3991.00,0.0484
3990.00,0.0484
3989.00,0.0483
3988.00,0.0483
3987.00,0.0483
3986.00,0.0483
3985.00,0.0483
3984.00,0.0483
3983.00,0.0483
3982.00,0.0483
3981.00,0.0482
3980.00,0.0482
3979.00,0.0482
3978.00,0.0482
3977.00,0.0482
3976.00,0.0482
3975.00,0.0483
3974.00,0.0483
3973.00,0.0483
3972.00,0.0483
3971.00,0.0483
3970.00,0.0482
3969.00,0.0481
3968.00,0.0480
3967.00,0.0480
3966.00,0.0479
3965.00,0.0480
3964.00,0.0480
3963.00,0.0480
3962.00,0.0480
3961.00,0.0480
3960.00,0.0480
3959.00,0.0480
3958.00,0.0480
3957.00,0.0480
3956.00,0.0479
3955.00,0.0479
3954.00,0.0479
3953.00,0.0479
3952.00,0.0479
3951.00,0.0480
3950.00,0.0481
3949.00,0.0482
3948.00,0.0481
3947.00,0.0481
3946.00,0.0481
3945.00,0.0482
3944.00,0.0482
3943.00,0.0482
3942.00,0.0481
3941.00,0.0480
3940.00,0.0480
3939.00,0.0479
3938.00,0.0477
3937.00,0.0476
3936.00,0.0476
3935.00,0.0477
3934.00,0.0478
3933.00,0.0479
3932.00,0.0480
3931.00,0.0481
3930.00,0.0481
3929.00,0.0480
3928.00,0.0479
3927.00,0.0479
3926.00,0.0479
3925.00,0.0478
3924.00,0.0478
3923.00,0.0478
3922.00,0.0479
3921.00,0.0478
3920.00,0.0477
3919.00,0.0478
3918.00,0.0478
3917.00,0.0478
3916.00,0.0477
3915.00,0.0476
3914.00,0.0475
3913.00,0.0474
3912.00,0.0472
3911.00,0.0471
3910.00,0.0471
3909.00,0.0471
3908.00,0.0473
3907.00,0.0474
3906.00,0.0476
3905.00,0.0477
3904.00,0.0479
3903.00,0.0481
3902.00,0.0485
3901.00,0.0486
3900.00,0.0485
3899.00,0.0482
3898.00,0.0478
3897.00,0.0476
3896.00,0.0475
3895.00,0.0475
3894.00,0.0475
3893.00,0.0475
3892.00,0.0475
3891.00,0.0473
3890.00,0.0471
3889.00,0.0474
3888.00,0.0477
3887.00,0.0477
3886.00,0.0474
3885.00,0.0472
3884.00,0.0475
3883.00,0.0480
3882.00,0.0482
3881.00,0.0480
3880.00,0.0476
3879.00,0.0473
3878.00,0.0473
3877.00,0.0474
3876.00,0.0474
3875.00,0.0472
3874.00,0.0470
3873.00,0.0472
3872.00,0.0477
3871.00,0.0479
3870.00,0.0475
3869.00,0.0472
3868.00,0.0473
3867.00,0.0477
3866.00,0.0478
3865.00,0.0475
3864.00,0.0473
3863.00,0.0474
3862.00,0.0475
3861.00,0.0473
3860.00,0.0470
3859.00,0.0468
3858.00,0.0467
3857.00,0.0468
3856.00,0.0469
3855.00,0.0468
3854.00,0.0466
3853.00,0.0466
3852.00,0.0468
3851.00,0.0471
3850.00,0.0472
3849.00,0.0471
3848.00,0.0468
3847.00,0.0466
3846.00,0.0466
3845.00,0.0465
3844.00,0.0465
3843.00,0.0465
3842.00,0.0468
3841.00,0.0471
3840.00,0.0473
3839.00,0.0473
3838.00,0.0471
3837.00,0.0470
3836.00,0.0469
3835.00,0.0469
3834.00,0.0470
3833.00,0.0469
3832.00,0.0467
3831.00,0.0464
3830.00,0.0464
3829.00,0.0465
3828.00,0.0466
3827.00,0.0464
3826.00,0.0462
3825.00,0.0462
3824.00,0.0465
3823.00,0.0468
3822.00,0.0467
3821.00,0.0464
3820.00,0.0463
3819.00,0.0467
3818.00,0.0471
3817.00,0.0469
3816.00,0.0463
3815.00,0.0458
3814.00,0.0459
3813.00,0.0461
3812.00,0.0459
3811.00,0.0456
3810.00,0.0455
3809.00,0.0456
3808.00,0.0456
3807.00,0.0454
3806.00,0.0452
3805.00,0.0456
3804.00,0.0462
3803.00,0.0465
3802.00,0.0462
3801.00,0.0458
3800.00,0.0459
3799.00,0.0463
3798.00,0.0465
3797.00,0.0463
3796.00,0.0459
3795.00,0.0456
3794.00,0.0456
3793.00,0.0456
3792.00,0.0455
3791.00,0.0453
3790.00,0.0453
3789.00,0.0452
3788.00,0.0453
3787.00,0.0453
3786.00,0.0454
3785.00,0.0454
3784.00,0.0453
3783.00,0.0454
3782.00,0.0455
3781.00,0.0455
3780.00,0.0454
3779.00,0.0452
3778.00,0.0452
3777.00,0.0452
3776.00,0.0452
3775.00,0.0450
3774.00,0.0448
3773.00,0.0448
3772.00,0.0449
3771.00,0.0450
3770.00,0.0450
3769.00,0.0450
3768.00,0.0453
3767.00,0.0455
3766.00,0.0454
3765.00,0.0452
3764.00,0.0450
3763.00,0.0451
3762.00,0.0453
3761.00,0.0453
3760.00,0.0452
3759.00,0.0452
3758.00,0.0453
3757.00,0.0453
3756.00,0.0452
3755.00,0.0452
3754.00,0.0451
3753.00,0.0448
3752.00,0.0447
3751.00,0.0449
3750.00,0.0450
3749.00,0.0451
3748.00,0.0453
3747.00,0.0458
3746.00,0.0460
3745.00,0.0454
3744.00,0.0446
3743.00,0.0444
3742.00,0.0448
3741.00,0.0451
3740.00,0.0450
3739.00,0.0448
3738.00,0.0448
3737.00,0.0450
3736.00,0.0453
3735.00,0.0456
3734.00,0.0458
3733.00,0.0457
3732.00,0.0451
3731.00,0.0446
3730.00,0.0444
3729.00,0.0445
3728.00,0.0446
3727.00,0.0445
3726.00,0.0445
3725.00,0.0446
3724.00,0.0449
3723.00,0.0449
3722.00,0.0448
3721.00,0.0447
3720.00,0.0446
3719.00,0.0445
3718.00,0.0442
3717.00,0.0440
3716.00,0.0439
3715.00,0.0440
3714.00,0.0440
3713.00,0.0440
3712.00,0.0442
3711.00,0.0444
3710.00,0.0446
3709.00,0.0446
3708.00,0.0444
3707.00,0.0441
3706.00,0.0439
3705.00,0.0439
3704.00,0.0440
3703.00,0.0441
3702.00,0.0441
3701.00,0.0441
3700.00,0.0441
3699.00,0.0441
3698.00,0.0441
3697.00,0.0441
3696.00,0.0440
3695.00,0.0440
3694.00,0.0441
3693.00,0.0442
3692.00,0.0443
3691.00,0.0445
3690.00,0.0447
3689.00,0.0447
3688.00,0.0444
3687.00,0.0442
3686.00,0.0443
3685.00,0.0443
3684.00,0.0442
3683.00,0.0440
3682.00,0.0439
3681.00,0.0439
3680.00,0.0438
3679.00,0.0439
3678.00,0.0443
3677.00,0.0448
3676.00,0.0449
3675.00,0.0447
3674.00,0.0447
3673.00,0.0451
3672.00,0.0453
3671.00,0.0452
3670.00,0.0448
3669.00,0.0448
3668.00,0.0448
3667.00,0.0449
3666.00,0.0447
3665.00,0.0445
3664.00,0.0443
3663.00,0.0442
3662.00,0.0442
3661.00,0.0442
3660.00,0.0443
3659.00,0.0445
3658.00,0.0448
3657.00,0.0450
3656.00,0.0450
3655.00,0.0451
3654.00,0.0455
3653.00,0.0459
3652.00,0.0461
3651.00,0.0460
3650.00,0.0465
3649.00,0.0473
3648.00,0.0478
3647.00,0.0477
3646.00,0.0474
3645.00,0.0470
3644.00,0.0468
3643.00,0.0465
3642.00,0.0463
3641.00,0.0462
3640.00,0.0463
3639.00,0.0464
3638.00,0.0464
3637.00,0.0465
3636.00,0.0467
3635.00,0.0467
3634.00,0.0467
3633.00,0.0468
3632.00,0.0471
3631.00,0.0476
3630.00,0.0479
3629.00,0.0481
3628.00,0.0483
3627.00,0.0485
3626.00,0.0486
3625.00,0.0485
3624.00,0.0484
3623.00,0.0484
3622.00,0.0487
3621.00,0.0491
3620.00,0.0494
3619.00,0.0497
3618.00,0.0498
3617.00,0.0500
3616.00,0.0501
3615.00,0.0501
3614.00,0.0500
3613.00,0.0499
3612.00,0.0500
3611.00,0.0501
3610.00,0.0501
3609.00,0.0502
3608.00,0.0502
3607.00,0.0502
3606.00,0.0503
3605.00,0.0503
3604.00,0.0502
3603.00,0.0502
3602.00,0.0503
3601.00,0.0504
3600.00,0.0506
3599.00,0.0508
3598.00,0.0509
3597.00,0.0510
3596.00,0.0512
3595.00,0.0513
3594.00,0.0515
3593.00,0.0515
3592.00,0.0514
3591.00,0.0515
3590.00,0.0516
3589.00,0.0519
3588.00,0.0523
3587.00,0.0527
3586.00,0.0528
3585.00,0.0528
3584.00,0.0526
3583.00,0.0524
3582.00,0.0522
3581.00,0.0522
3580.00,0.0522
3579.00,0.0524
3578.00,0.0524
3577.00,0.0525
3576.00,0.0525
3575.00,0.0525
3574.00,0.0525
3573.00,0.0526
3572.00,0.0526
3571.00,0.0527
3570.00,0.0530
3569.00,0.0534
3568.00,0.0540
3567.00,0.0546
3566.00,0.0549
3565.00,0.0550
3564.00,0.0548
3563.00,0.0546
3562.00,0.0543
3561.00,0.0542
3560.00,0.0541
3559.00,0.0541
3558.00,0.0540
3557.00,0.0540
3556.00,0.0540
3555.00,0.0540
3554.00,0.0542
3553.00,0.0544
3552.00,0.0546
3551.00,0.0547
3550.00,0.0548
3549.00,0.0549
3548.00,0.0550
3547.00,0.0553
3546.00,0.0555
3545.00,0.0557
3544.00,0.0557
3543.00,0.0556
3542.00,0.0554
3541.00,0.0553
3540.00,0.0552
3539.00,0.0553
3538.00,0.0554
3537.00,0.0555
3536.00,0.0557
3535.00,0.0557
3534.00,0.0558
3533.00,0.0558
3532.00,0.0557
3531.00,0.0558
3530.00,0.0559
3529.00,0.0561
3528.00,0.0563
3527.00,0.0565
3526.00,0.0567
3525.00,0.0568
3524.00,0.0569
3523.00,0.0570
3522.00,0.0569
3521.00,0.0569
3520.00,0.0568
3519.00,0.0568
3518.00,0.0567
3517.00,0.0567
3516.00,0.0568
3515.00,0.0569
3514.00,0.0570
3513.00,0.0571
3512.00,0.0572
3511.00,0.0573
3510.00,0.0575
3509.00,0.0576
3508.00,0.0576
3507.00,0.0576
3506.00,0.0576
3505.00,0.0576
3504.00,0.0578
3503.00,0.0579
3502.00,0.0581
3501.00,0.0582
3500.00,0.0582
3499.00,0.0581
3498.00,0.0581
3497.00,0.0581
3496.00,0.0581
3495.00,0.0582
3494.00,0.0583
3493.00,0.0583
3492.00,0.0583
3491.00,0.0583
3490.00,0.0583
3489.00,0.0583
3488.00,0.0585
3487.00,0.0586
3486.00,0.0588
3485.00,0.0589
3484.00,0.0590
3483.00,0.0591
3482.00,0.0592
3481.00,0.0592
3480.00,0.0593
3479.00,0.0593
3478.00,0.0593
3477.00,0.0593
3476.00,0.0594
3475.00,0.0594
3474.00,0.0595
3473.00,0.0595
3472.00,0.0596
3471.00,0.0596
3470.00,0.0597
3469.00,0.0597
3468.00,0.0597
3467.00,0.0598
3466.00,0.0598
3465.00,0.0599
3464.00,0.0600
3463.00,0.0601
3462.00,0.0601
3461.00,0.0602
3460.00,0.0602
3459.00,0.0603
3458.00,0.0603
3457.00,0.0604
3456.00,0.0604
3455.00,0.0605
3454.00,0.0606
3453.00,0.0606
3452.00,0.0606
3451.00,0.0606
3450.00,0.0606
3449.00,0.0607
3448.00,0.0608
3447.00,0.0610
3446.00,0.0611
3445.00,0.0611
3444.00,0.0612
3443.00,0.0612
3442.00,0.0612
3441.00,0.0612
3440.00,0.0612
3439.00,0.0612
3438.00,0.0612
3437.00,0.0612
3436.00,0.0612
3435.00,0.0612
3434.00,0.0613
3433.00,0.0613
3432.00,0.0614
3431.00,0.0614
3430.00,0.0615
3429.00,0.0615
3428.00,0.0615
3427.00,0.0616
3426.00,0.0617
3425.00,0.0618
3424.00,0.0618
3423.00,0.0618
3422.00,0.0619
3421.00,0.0620
3420.00,0.0621
3419.00,0.0622
3418.00,0.0622
3417.00,0.0621
3416.00,0.0621
3415.00,0.0621
3414.00,0.0621
3413.00,0.0622
3412.00,0.0623
3411.00,0.0624
3410.00,0.0624
3409.00,0.0624
3408.00,0.0624
3407.00,0.0625
3406.00,0.0626
3405.00,0.0626
3404.00,0.0627
3403.00,0.0627
3402.00,0.0627
3401.00,0.0627
3400.00,0.0627
3399.00,0.0627
3398.00,0.0628
3397.00,0.0628
3396.00,0.0628
3395.00,0.0629
3394.00,0.0629
3393.00,0.0630
3392.00,0.0631
3391.00,0.0631
3390.00,0.0631
3389.00,0.0630
3388.00,0.0630
3387.00,0.0631
3386.00,0.0632
3385.00,0.0632
3384.00,0.0632
3383.00,0.0632
3382.00,0.0631
3381.00,0.0631
3380.00,0.0631
3379.00,0.0632
3378.00,0.0632
3377.00,0.0633
3376.00,0.0633
3375.00,0.0634
3374.00,0.0634
3373.00,0.0635
3372.00,0.0635
3371.00,0.0634
3370.00,0.0634
3369.00,0.0634
3368.00,0.0634
3367.00,0.0635
3366.00,0.0636
3365.00,0.0636
3364.00,0.0637
3363.00,0.0637
3362.00,0.0637
3361.00,0.0637
3360.00,0.0637
3359.00,0.0637
3358.00,0.0637
3357.00,0.0638
3356.00,0.0638
3355.00,0.0638
3354.00,0.0637
3353.00,0.0637
3352.00,0.0637
3351.00,0.0636
3350.00,0.0636
3349.00,0.0636
3348.00,0.0636
3347.00,0.0636
3346.00,0.0637
3345.00,0.0637
3344.00,0.0638
3343.00,0.0638
3342.00,0.0638
3341.00,0.0638
3340.00,0.0638
3339.00,0.0638
3338.00,0.0638
3337.00,0.0639
3336.00,0.0640
3335.00,0.0640
3334.00,0.0640
3333.00,0.0639
3332.00,0.0639
3331.00,0.0639
3330.00,0.0639
3329.00,0.0639
3328.00,0.0639
3327.00,0.0639
3326.00,0.0639
3325.00,0.0640
3324.00,0.0640
3323.00,0.0640
3322.00,0.0640
3321.00,0.0639
3320.00,0.0639
3319.00,0.0638
3318.00,0.0639
3317.00,0.0639
3316.00,0.0639
3315.00,0.0639
3314.00,0.0639
3313.00,0.0639
3312.00,0.0640
3311.00,0.0640
3310.00,0.0641
3309.00,0.0641
3308.00,0.0641
3307.00,0.0641
3306.00,0.0641
3305.00,0.0642
3304.00,0.0642
3303.00,0.0642
3302.00,0.0641
3301.00,0.0640
3300.00,0.0640
3299.00,0.0640
3298.00,0.0641
3297.00,0.0641
3296.00,0.0642
3295.00,0.0641
3294.00,0.0641
3293.00,0.0641
3292.00,0.0641
