Created as New Dataset,
cm-1,A
4000.00,0.0057
3999.00,0.0057
3998.00,0.0057
3997.00,0.0057
3996.00,0.0057
3995.00,0.0057
3994.00,0.0057
3993.00,0.0057
3992.00,0.0057
3991.00,0.0056
3990.00,0.0056
3989.00,0.0055
3988.00,0.0055
3987.00,0.0055
3986.00,0.0055
3985.00,0.0055
3984.00,0.0055
3983.00,0.0056
3982.00,0.0056
3981.00,0.0056
3980.00,0.0056
3979.00,0.0056
3978.00,0.0056
3977.00,0.0056
3976.00,0.0055
3975.00,0.0055
3974.00,0.0055
3973.00,0.0055
3972.00,0.0055
3971.00,0.0055
3970.00,0.0055
3969.00,0.0054
3968.00,0.0054
3967.00,0.0054
3966.00,0.0054
3965.00,0.0054
3964.00,0.0054
3963.00,0.0054
3962.00,0.0054
3961.00,0.0055
3960.00,0.0055
3959.00,0.0055
3958.00,0.0055
3957.00,0.0055
3956.00,0.0055
3955.00,0.0054
3954.00,0.0054
3953.00,0.0054
3952.00,0.0053
3951.00,0.0053
3950.00,0.0053
3949.00,0.0053
3948.00,0.0052
3947.00,0.0052
3946.00,0.0051
3945.00,0.0051
3944.00,0.0052
3943.00,0.0052
3942.00,0.0053
3941.00,0.0053
3940.00,0.0053
3939.00,0.0053
3938.00,0.0053
3937.00,0.0053
3936.00,0.0052
3935.00,0.0051
3934.00,0.0051
3933.00,0.0051
3932.00,0.0052
3931.00,0.0052
3930.00,0.0051
3929.00,0.0051
3928.00,0.0051
3927.00,0.0050
3926.00,0.0050
3925.00,0.0050
3924.00,0.0050
3923.00,0.0050
3922.00,0.0050
3921.00,0.0050
3920.00,0.0050
3919.00,0.0050
3918.00,0.0051
3917.00,0.0051
3916.00,0.0051
3915.00,0.0051
3914.00,0.0051
3913.00,0.0052
3912.00,0.0053
3911.00,0.0053
3910.00,0.0052
3909.00,0.0051
3908.00,0.0049
3907.00,0.0047
3906.00,0.0046
3905.00,0.0044
3904.00,0.0043
3903.00,0.0042
3902.00,0.0042
3901.00,0.0043
3900.00,0.0045
3899.00,0.0046
3898.00,0.0047
3897.00,0.0047
3896.00,0.0048
3895.00,0.0048
3894.00,0.0048
3893.00,0.0049
3892.00,0.0049
3891.00,0.0048
3890.00,0.0047
3889.00,0.0046
3888.00,0.0046
3887.00,0.0047
3886.00,0.0047
3885.00,0.0047
3884.00,0.0046
3883.00,0.0045
3882.00,0.0046
3881.00,0.0047
3880.00,0.0046
3879.00,0.0046
3878.00,0.0046
3877.00,0.0047
3876.00,0.0048
3875.00,0.0047
3874.00,0.0045
3873.00,0.0043
3872.00,0.0042
3871.00,0.0043
3870.00,0.0043
3869.00,0.0042
3868.00,0.0041
3867.00,0.0042
3866.00,0.0043
3865.00,0.0044
3864.00,0.0044
3863.00,0.0044
3862.00,0.0045
3861.00,0.0045
3860.00,0.0046
3859.00,0.0045
3858.00,0.0044
3857.00,0.0041
3856.00,0.0038
3855.00,0.0036
3854.00,0.0038
3853.00,0.0038
3852.00,0.0035
3851.00,0.0034
3850.00,0.0038
3849.00,0.0042
3848.00,0.0045
3847.00,0.0046
3846.00,0.0046
3845.00,0.0045
3844.00,0.0044
3843.00,0.0042
3842.00,0.0041
3841.00,0.0039
3840.00,0.0039
3839.00,0.0039
3838.00,0.0039
3837.00,0.0039
3836.00,0.0038
3835.00,0.0039
3834.00,0.0041
3833.00,0.0043
3832.00,0.0044
3831.00,0.0045
3830.00,0.0045
3829.00,0.0046
3828.00,0.0046
3827.00,0.0046
3826.00,0.0045
3825.00,0.0042
3824.00,0.0040
3823.00,0.0040
3822.00,0.0040
3821.00,0.0040
3820.00,0.0038
3819.00,0.0037
3818.00,0.0038
3817.00,0.0041
3816.00,0.0042
3815.00,0.0043
3814.00,0.0043
3813.00,0.0044
3812.00,0.0046
3811.00,0.0046
3810.00,0.0045
3809.00,0.0044
3808.00,0.0044
3807.00,0.0043
3806.00,0.0040
3805.00,0.0038
3804.00,0.0038
3803.00,0.0039
3802.00,0.0040
3801.00,0.0040
3800.00,0.0038
3799.00,0.0038
3798.00,0.0040
3797.00,0.0042
3796.00,0.0043
3795.00,0.0044
3794.00,0.0046
3793.00,0.0047
3792.00,0.0048
3791.00,0.0048
3790.00,0.0048
3789.00,0.0047
3788.00,0.0047
3787.00,0.0046
3786.00,0.0046
3785.00,0.0046
3784.00,0.0045
3783.00,0.0044
3782.00,0.0044
3781.00,0.0044
3780.00,0.0044
3779.00,0.0044
3778.00,0.0044
3777.00,0.0045
3776.00,0.0046
3775.00,0.0046
3774.00,0.0045
3773.00,0.0044
3772.00,0.0043
3771.00,0.0042
3770.00,0.0042
3769.00,0.0042
3768.00,0.0041
3767.00,0.0042
3766.00,0.0043
3765.00,0.0043
3764.00,0.0043
3763.00,0.0043
3762.00,0.0043
3761.00,0.0043
3760.00,0.0043
3759.00,0.0042
3758.00,0.0041
3757.00,0.0040
3756.00,0.0039
3755.00,0.0038
3754.00,0.0036
3753.00,0.0034
3752.00,0.0034
3751.00,0.0034
3750.00,0.0033
3749.00,0.0032
3748.00,0.0030
3747.00,0.0030
3746.00,0.0031
3745.00,0.0033
3744.00,0.0033
3743.00,0.0032
3742.00,0.0032
3741.00,0.0034
3740.00,0.0036
3739.00,0.0035
3738.00,0.0034
3737.00,0.0033
3736.00,0.0032
3735.00,0.0032
3734.00,0.0032
3733.00,0.0033
3732.00,0.0034
3731.00,0.0035
