Created as New Dataset,
cm-1,A
4000.00,-0.0042
3999.00,-0.0042
3998.00,-0.0042
3997.00,-0.0042
3996.00,-0.0041
3995.00,-0.0040
3994.00,-0.0040
3993.00,-0.0040
3992.00,-0.0040
3991.00,-0.0041
3990.00,-0.0041
3989.00,-0.0041
3988.00,-0.0041
3987.00,-0.0041
3986.00,-0.0041
3985.00,-0.0041
3984.00,-0.0041
3983.00,-0.0040
3982.00,-0.0040
3981.00,-0.0040
3980.00,-0.0040
3979.00,-0.0040
3978.00,-0.0039
3977.00,-0.0039
3976.00,-0.0039
3975.00,-0.0039
3974.00,-0.0039
3973.00,-0.0039
3972.00,-0.0039
3971.00,-0.0039
3970.00,-0.0040
3969.00,-0.0040
3968.00,-0.0040
3967.00,-0.0040
3966.00,-0.0040
3965.00,-0.0040
3964.00,-0.0039
3963.00,-0.0039
3962.00,-0.0038
3961.00,-0.0038
3960.00,-0.0038
3959.00,-0.0038
3958.00,-0.0038
3957.00,-0.0038
3956.00,-0.0039
3955.00,-0.0039
3954.00,-0.0039
3953.00,-0.0038
3952.00,-0.0038
3951.00,-0.0037
3950.00,-0.0037
3949.00,-0.0037
3948.00,-0.0037
3947.00,-0.0036
3946.00,-0.0036
3945.00,-0.0035
3944.00,-0.0035
3943.00,-0.0035
3942.00,-0.0036
3941.00,-0.0036
3940.00,-0.0036
3939.00,-0.0036
3938.00,-0.0037
3937.00,-0.0037
3936.00,-0.0037
3935.00,-0.0036
3934.00,-0.0036
3933.00,-0.0035
3932.00,-0.0035
3931.00,-0.0034
3930.00,-0.0034
3929.00,-0.0034
3928.00,-0.0033
3927.00,-0.0033
3926.00,-0.0034
3925.00,-0.0034
3924.00,-0.0035
3923.00,-0.0035
3922.00,-0.0035
3921.00,-0.0035
3920.00,-0.0036
3919.00,-0.0036
3918.00,-0.0035
3917.00,-0.0035
3916.00,-0.0035
3915.00,-0.0035
3914.00,-0.0035
3913.00,-0.0035
3912.00,-0.0035
3911.00,-0.0036
3910.00,-0.0035
3909.00,-0.0035
3908.00,-0.0034
3907.00,-0.0034
3906.00,-0.0034
3905.00,-0.0034
3904.00,-0.0034
3903.00,-0.0033
3902.00,-0.0031
3901.00,-0.0030
3900.00,-0.0029
3899.00,-0.0031
3898.00,-0.0032
3897.00,-0.0033
3896.00,-0.0033
3895.00,-0.0032
3894.00,-0.0032
3893.00,-0.0032
3892.00,-0.0033
3891.00,-0.0034
3890.00,-0.0034
3889.00,-0.0033
3888.00,-0.0031
3887.00,-0.0030
3886.00,-0.0032
3885.00,-0.0033
3884.00,-0.0031
3883.00,-0.0028
3882.00,-0.0026
3881.00,-0.0027
3880.00,-0.0030
3879.00,-0.0032
3878.00,-0.0031
3877.00,-0.0030
3876.00,-0.0029
3875.00,-0.0030
3874.00,-0.0032
3873.00,-0.0032
3872.00,-0.0030
3871.00,-0.0030
3870.00,-0.0031
3869.00,-0.0032
3868.00,-0.0031
3867.00,-0.0029
3866.00,-0.0028
3865.00,-0.0029
3864.00,-0.0031
3863.00,-0.0031
3862.00,-0.0030
3861.00,-0.0030
3860.00,-0.0031
3859.00,-0.0032
3858.00,-0.0032
3857.00,-0.0032
3856.00,-0.0030
3855.00,-0.0029
3854.00,-0.0030
3853.00,-0.0031
3852.00,-0.0030
3851.00,-0.0029
3850.00,-0.0029
3849.00,-0.0030
3848.00,-0.0031
3847.00,-0.0032
3846.00,-0.0032
3845.00,-0.0031
3844.00,-0.0032
3843.00,-0.0032
3842.00,-0.0031
3841.00,-0.0030
3840.00,-0.0029
3839.00,-0.0029
3838.00,-0.0029
3837.00,-0.0029
3836.00,-0.0028
3835.00,-0.0028
3834.00,-0.0027
3833.00,-0.0028
3832.00,-0.0029
3831.00,-0.0030
3830.00,-0.0030
3829.00,-0.0029
3828.00,-0.0028
3827.00,-0.0029
3826.00,-0.0031
3825.00,-0.0031
3824.00,-0.0029
3823.00,-0.0028
3822.00,-0.0028
3821.00,-0.0031
3820.00,-0.0031
3819.00,-0.0030
3818.00,-0.0027
3817.00,-0.0027
3816.00,-0.0029
3815.00,-0.0031
3814.00,-0.0030
3813.00,-0.0029
3812.00,-0.0030
3811.00,-0.0031
3810.00,-0.0031
3809.00,-0.0031
3808.00,-0.0031
3807.00,-0.0033
3806.00,-0.0034
3805.00,-0.0033
3804.00,-0.0030
3803.00,-0.0028
3802.00,-0.0029
3801.00,-0.0030
3800.00,-0.0029
3799.00,-0.0027
3798.00,-0.0026
3797.00,-0.0027
3796.00,-0.0029
3795.00,-0.0030
3794.00,-0.0029
3793.00,-0.0029
3792.00,-0.0029
3791.00,-0.0030
3790.00,-0.0030
3789.00,-0.0031
3788.00,-0.0030
3787.00,-0.0030
3786.00,-0.0030
3785.00,-0.0030
3784.00,-0.0030
3783.00,-0.0029
3782.00,-0.0028
3781.00,-0.0028
3780.00,-0.0028
3779.00,-0.0029
3778.00,-0.0030
3777.00,-0.0029
3776.00,-0.0029
3775.00,-0.0030
3774.00,-0.0031
3773.00,-0.0031
3772.00,-0.0031
3771.00,-0.0031
3770.00,-0.0031
3769.00,-0.0030
3768.00,-0.0029
3767.00,-0.0027
3766.00,-0.0028
3765.00,-0.0029
3764.00,-0.0029
3763.00,-0.0029
3762.00,-0.0027
3761.00,-0.0027
3760.00,-0.0028
3759.00,-0.0029
3758.00,-0.0029
3757.00,-0.0030
3756.00,-0.0030
3755.00,-0.0030
3754.00,-0.0030
3753.00,-0.0031
3752.00,-0.0033
3751.00,-0.0033
3750.00,-0.0031
3749.00,-0.0030
3748.00,-0.0028
3747.00,-0.0026
3746.00,-0.0024
3745.00,-0.0025
3744.00,-0.0028
3743.00,-0.0029
3742.00,-0.0028
3741.00,-0.0028
3740.00,-0.0029
3739.00,-0.0030
3738.00,-0.0030
3737.00,-0.0030
3736.00,-0.0029
3735.00,-0.0027
3734.00,-0.0026
3733.00,-0.0025
3732.00,-0.0026
3731.00,-0.0028
3730.00,-0.0029
3729.00,-0.0028
3728.00,-0.0028
3727.00,-0.0029
3726.00,-0.0029
3725.00,-0.0028
3724.00,-0.0027
3723.00,-0.0026
3722.00,-0.0026
3721.00,-0.0027
3720.00,-0.0027
3719.00,-0.0027
3718.00,-0.0028
3717.00,-0.0029
3716.00,-0.0030
3715.00,-0.0029
3714.00,-0.0028
3713.00,-0.0029
3712.00,-0.0029
3711.00,-0.0028
3710.00,-0.0026
3709.00,-0.0026
3708.00,-0.0026
3707.00,-0.0028
3706.00,-0.0030
3705.00,-0.0030
3704.00,-0.0029
3703.00,-0.0029
3702.00,-0.0028
3701.00,-0.0028
3700.00,-0.0028
3699.00,-0.0028
3698.00,-0.0028
3697.00,-0.0028
3696.00,-0.0029
3695.00,-0.0029
3694.00,-0.0029
3693.00,-0.0029
3692.00,-0.0029
3691.00,-0.0029
3690.00,-0.0028
3689.00,-0.0027
3688.00,-0.0027
3687.00,-0.0027
3686.00,-0.0027
3685.00,-0.0027
3684.00,-0.0028
3683.00,-0.0029
3682.00,-0.0030
3681.00,-0.0030
3680.00,-0.0031
3679.00,-0.0031
3678.00,-0.0029
3677.00,-0.0027
3676.00,-0.0026
3675.00,-0.0027
3674.00,-0.0027
3673.00,-0.0025
3672.00,-0.0024
3671.00,-0.0025
3670.00,-0.0027
3669.00,-0.0027
3668.00,-0.0026
3667.00,-0.0026
3666.00,-0.0026
3665.00,-0.0028
3664.00,-0.0030
3663.00,-0.0031
3662.00,-0.0032
3661.00,-0.0032
3660.00,-0.0032
3659.00,-0.0032
3658.00,-0.0031
3657.00,-0.0030
3656.00,-0.0030
3655.00,-0.0029
3654.00,-0.0027
3653.00,-0.0025
3652.00,-0.0025
3651.00,-0.0029
3650.00,-0.0031
3649.00,-0.0028
3648.00,-0.0024
3647.00,-0.0022
3646.00,-0.0023
3645.00,-0.0025
3644.00,-0.0026
3643.00,-0.0027
3642.00,-0.0029
3641.00,-0.0029
3640.00,-0.0029
3639.00,-0.0029
3638.00,-0.0029
3637.00,-0.0029
3636.00,-0.0028
3635.00,-0.0029
3634.00,-0.0030
3633.00,-0.0031
3632.00,-0.0029
3631.00,-0.0027
3630.00,-0.0027
3629.00,-0.0027
3628.00,-0.0027
3627.00,-0.0026
3626.00,-0.0026
3625.00,-0.0027
3624.00,-0.0028
3623.00,-0.0029
3622.00,-0.0028
3621.00,-0.0027
3620.00,-0.0026
3619.00,-0.0026
3618.00,-0.0025
3617.00,-0.0025
3616.00,-0.0025
3615.00,-0.0025
3614.00,-0.0027
3613.00,-0.0029
3612.00,-0.0029
3611.00,-0.0028
3610.00,-0.0027
3609.00,-0.0027
3608.00,-0.0027
3607.00,-0.0027
3606.00,-0.0027
3605.00,-0.0027
3604.00,-0.0027
3603.00,-0.0027
3602.00,-0.0027
3601.00,-0.0028
3600.00,-0.0028
3599.00,-0.0028
3598.00,-0.0028
3597.00,-0.0027
3596.00,-0.0027
3595.00,-0.0026
3594.00,-0.0027
3593.00,-0.0027
3592.00,-0.0028
3591.00,-0.0028
3590.00,-0.0028
3589.00,-0.0027
3588.00,-0.0026
3587.00,-0.0025
3586.00,-0.0024
3585.00,-0.0023
3584.00,-0.0024
3583.00,-0.0025
3582.00,-0.0026
3581.00,-0.0026
3580.00,-0.0026
3579.00,-0.0026
3578.00,-0.0026
3577.00,-0.0026
3576.00,-0.0027
3575.00,-0.0027
3574.00,-0.0028
3573.00,-0.0028
3572.00,-0.0027
3571.00,-0.0027
3570.00,-0.0026
3569.00,-0.0025
